Date,Henry
2026-04-15,2.785
2026-04-16,2.75
2026-04-17,2.805
2026-04-18,2.73
2026-04-19,2.73
2026-04-20,2.73
2026-04-21,2.805
2026-04-22,2.755
2026-04-23,2.755
2026-04-24,2.66
2026-04-25,2.53
2026-04-26,2.53
2026-04-27,2.53
2026-04-28,2.775
2026-04-29,2.665
2026-04-30,2.6
2026-05-01,2.635
2026-05-02,2.605
2026-05-03,2.605
2026-05-04,2.605
2026-05-05,2.685
2026-05-06,2.805
2026-05-07,2.745
2026-05-08,2.695
2026-05-09,2.755
2026-05-10,2.755
2026-05-11,2.755
2026-05-12,2.835
2026-05-13,2.9
2026-05-14,2.875
2026-05-15,2.805
2026-05-16,2.89
2026-05-17,2.89
2026-05-18,2.89
2026-05-19,3.07
2026-05-20,3.205
2026-05-21,3.185
2026-05-22,3.14
2026-05-23,2.935
2026-05-24,2.935
2026-05-25,2.935
2026-05-26,2.935
2026-05-27,3.09
2026-05-28,3.15
2026-05-29,3.075
2026-05-30,3.075
2026-05-31,3.075
2026-06-01,3.34
2026-06-02,3.085
2026-06-03,2.965
2026-06-04,2.945
2026-06-05,3.085
2026-06-06,3.04
2026-06-07,3.04
2026-06-08,3.04
2026-06-09,3.1
2026-06-10,3.175
2026-06-11,3.255
2026-06-12,3.16
2026-06-13,3.08
2026-06-14,3.08
2026-06-15,3.08
2026-06-16,3.055
2026-06-17,3.1
2026-06-18,3.315
2026-06-19,3.085
2026-06-20,3.085
2026-06-21,3.085
2026-06-22,3.085
2026-06-23,3.155
2026-06-24,3.15
2026-06-25,3.215
2026-06-26,3.285
2026-06-27,3.285
2026-06-28,3.285
2026-06-29,3.285
2026-06-30,3.35
2026-07-01,3.34
2026-07-02,3.3267
