Date,State_A,State_B,GEOID_A,GEOID_B,Comp_A,Comp_B,Spread_Abs,N_score,W_score,P_score,Tension_Score,Data_Quality_Flag
2026-08-05,IL,IL,IL|COOK,IL|WILL,NGPL-NICOR,ANR-Joliet Hub,0.03,,,,,Missing_N
2026-08-05,IL,IN,IL|COOK,IN|LAKE,NGPL-NICOR,ANR-Joliet Hub,0.03,,,,,Missing_N
2026-08-05,IL,IL,IL|DEKALB,IL|KENDALL,NGPL-NICOR,ANR-Joliet Hub,0.03,,,25.172,,Missing_N
2026-08-05,IL,IL,IL|DOUGLAS,IL|EDGAR,REX E-Trunk,REX E-MidW,0.0076,,,25.172,,Missing_N
2026-08-05,IL,IL,IL|DOUGLAS,IL|MOULTRIE,REX E-Trunk,REX E-NGPL,0.0053,,,25.172,,Missing_N
2026-08-05,IL,IL,IL|DOUGLAS,IL|PIATT,REX E-Trunk,NGPL-NICOR,0.025,,,25.172,,Missing_N
2026-08-05,IL,IL,IL|DUPAGE,IL|KENDALL,NGPL-NICOR,ANR-Joliet Hub,0.03,,,25.172,,Missing_N
2026-08-05,IL,IL,IL|DUPAGE,IL|WILL,NGPL-NICOR,ANR-Joliet Hub,0.03,,,,,Missing_N
2026-08-05,IL,IN,IL|EDGAR,IN|VERMILLION,REX E-MidW,TETCO-M2 (receipt),0.355,62.7249,,25.172,52,Imputed_W
2026-08-05,IL,IL,IL|GRUNDY,IL|KENDALL,NGPL-NICOR,ANR-Joliet Hub,0.03,,,25.172,,Missing_N
2026-08-05,IL,IL,IL|GRUNDY,IL|WILL,NGPL-NICOR,ANR-Joliet Hub,0.03,,,,,Missing_N
2026-08-05,IL,IL,IL|KANKAKEE,IL|WILL,NGPL-NICOR,ANR-Joliet Hub,0.03,,,25.172,,Missing_N
2026-08-05,IL,IN,IL|KANKAKEE,IN|LAKE,NGPL-NICOR,ANR-Joliet Hub,0.03,,,25.172,,Missing_N
2026-08-05,IL,IL,IL|KENDALL,IL|LASALLE,ANR-Joliet Hub,NGPL-NICOR,0.03,,,25.172,,Missing_N
2026-08-05,IL,IL,IL|MOULTRIE,IL|PIATT,REX E-NGPL,NGPL-NICOR,0.045,47.0106,,25.172,41,Imputed_W
2026-08-05,IL,IN,IL|WHITE,IN|GIBSON,TETCO-M1 24,TETCO-M2 (receipt),0.4,57.619,,25.172,48,Imputed_W
2026-08-05,IL,IN,IL|WHITE,IN|POSEY,TETCO-M1 24,TETCO-M2 (receipt),0.4,57.619,,25.172,48,Imputed_W
2026-08-05,IN,IN,IN|DECATUR,IN|SHELBY,TETCO-M2 (receipt),REX E-ANR,0.3228,61.4815,,,61,Imputed_WP
2026-08-05,KS,KS,KS|BARBER,KS|COMANCHE,Panhandle,ANR-SW,0.095,73.2672,82.0,,77,Imputed_P
2026-08-05,KS,OK,KS|BARBER,OK|ALFALFA,Panhandle,southern star,0.075,62.5,82.0,,69,Imputed_P
2026-08-05,KS,OK,KS|COMANCHE,OK|WOODS,ANR-SW,Panhandle,0.095,73.2672,82.0,,77,Imputed_P
2026-08-05,KS,KS,KS|HARPER,KS|SUMNER,Panhandle,EGT-West,3.15,77.0012,82.0,,80,Imputed_P
