Level,Key,Missing_County_Nodes
state,TX,151
state,IL,70
state,MN,57
state,KY,55
state,CA,55
state,GA,55
state,KS,55
state,WI,46
state,MO,44
state,OH,38
state,TN,38
state,NE,34
state,ND,32
state,NY,31
state,IN,31
state,CO,29
state,MI,27
state,WV,27
state,WA,23
state,OR,23
state,AL,23
state,AR,20
state,IA,18
state,UT,18
state,SC,18
county,AL|BALDWIN,1
county,OR|COFFEE,1
county,OR|HOOD RIVER,1
county,OR|HENRY,1
county,OR|HARNEY,1
county,OR|DOUGLAS,1
county,OR|DESCHUTES,1
county,OR|CROOK,1
county,OR|COLUMBIA,1
county,OR|CLACKAMAS,1
county,OK|NOWATA,1
county,OR|BAKER,1
county,OK|WHEELER,1
county,OK|WASHINGTON,1
county,OK|PAYNE,1
county,OK|PAWNEE,1
county,OK|OTTAWA,1
county,OK|OSAGE,1
county,OR|JEFFERSON,1
county,OR|JOSEPHINE,1
county,OR|KLICKITAT,1
county,OR|LAKE,1
county,PA|LACKAWANNA,1
county,PA|HARRISON,1
county,PA|CUMBERLAND,1
county,PA|COLUMBIA,1
county,PA|CARBON,1
county,PA|CAMERON,1
county,OR|WASCO,1
county,OR|UNION,1
county,OR|MULTNOMAH,1
county,OR|MORROW,1
county,OR|MARSHALL,1
county,OR|MARION,1
county,OR|MALHEUR,1
county,OR|LINN,1
county,OR|LANE,1
county,OK|OKLAHOMA,1
county,OK|NOBLE,1
county,OH|FULTON,1
county,OH|LORAIN,1
county,OH|PAULDING,1
county,OH|OTTAWA,1
county,OH|MORROW,1
county,OH|MEIGS,1
county,OH|MEDINA,1
county,OH|MADISON,1
county,OH|LUCAS,1
county,OH|LICKING,1
county,OK|LOGAN,1
county,OH|LAWRENCE,1
county,OH|KNOX,1
county,OH|HURON,1
county,OH|HOLMES,1
county,OH|HOCKING,1
county,OH|HENRY,1
county,OH|GREENE,1
county,OH|PORTAGE,1
county,OH|PUTNAM,1
county,OH|RICHLAND,1
county,OH|ROSS,1
county,OK|LINCOLN,1
county,OK|HASKELL,1
county,OK|ELLIS,1
county,OK|CREEK,1
county,OK|CRAIG,1
county,OK|CLEVELAND,1
county,OK|CIMARRON,1
county,OH|WYANDOT,1
county,OH|WOOD,1
county,OH|WAYNE,1
county,OH|VAN WERT,1
county,OH|UNION,1
county,OH|STARK,1
county,OH|SENECA,1
county,OH|SANDUSKY,1
county,PA|MONTOUR,1
county,PA|NORTHUMBERLAND,1
county,PA|PERRY,1
county,TN|HENRY,1
county,TN|MARION,1
county,TN|LOUDON,1
county,TN|LINCOLN,1
county,TN|LEWIS,1
county,TN|KNOX,1
county,TN|JEFFERSON,1
county,TN|JACKSON,1
county,TN|HAWKINS,1
county,PA|SCHUYLKILL,1
county,TN|HAMILTON,1
county,TN|HAMBLEN,1
county,TN|GRUNDY,1
county,TN|GREENE,1
county,TN|FRANKLIN,1
county,TN|FENTRESS,1
county,TN|COCKE,1
county,TN|MARSHALL,1
county,TN|MCMINN,1
county,TN|MONROE,1
county,TN|MONTGOMERY,1
