Date,Horizon,State_A,State_B,GEOID_A,GEOID_B,Comp_A,Comp_B,Tension_Score,N_score,W_score,P_score,Signal_Percentile,Risk_Bucket,Expected_Move_Label,Data_Quality_Flag
2026-08-06,H1,IL,IL,IL|COOK,IL|WILL,NGPL-NICOR,ANR-Joliet Hub,,,,,,,,Missing_N
2026-08-06,H1,IL,IN,IL|COOK,IN|LAKE,NGPL-NICOR,ANR-Joliet Hub,,,,,,,,Missing_N
2026-08-06,H1,IL,IL,IL|DEKALB,IL|KENDALL,NGPL-NICOR,ANR-Joliet Hub,,,,89.0344,,,,Missing_N
2026-08-06,H1,IL,IL,IL|DOUGLAS,IL|EDGAR,REX E-Trunk,REX E-MidW,,,,89.0344,,,,Missing_N
2026-08-06,H1,IL,IL,IL|DOUGLAS,IL|MOULTRIE,REX E-Trunk,REX E-NGPL,,,,89.0344,,,,Missing_N
2026-08-06,H1,IL,IL,IL|DOUGLAS,IL|PIATT,REX E-Trunk,NGPL-NICOR,,,,89.0344,,,,Missing_N
2026-08-06,H1,IL,IL,IL|DUPAGE,IL|KENDALL,NGPL-NICOR,ANR-Joliet Hub,,,,89.0344,,,,Missing_N
2026-08-06,H1,IL,IL,IL|DUPAGE,IL|WILL,NGPL-NICOR,ANR-Joliet Hub,,,,,,,,Missing_N
2026-08-06,H1,IL,IN,IL|EDGAR,IN|VERMILLION,REX E-MidW,TETCO-M2 (receipt),78,68.4524,,89.0344,94.52,High,Expansion_Risk,Imputed_W
2026-08-06,H1,IL,IL,IL|GRUNDY,IL|KENDALL,NGPL-NICOR,ANR-Joliet Hub,,,,89.0344,,,,Missing_N
2026-08-06,H1,IL,IL,IL|GRUNDY,IL|WILL,NGPL-NICOR,ANR-Joliet Hub,,,,,,,,Missing_N
2026-08-06,H1,IL,IL,IL|KANKAKEE,IL|WILL,NGPL-NICOR,ANR-Joliet Hub,,,,89.0344,,,,Missing_N
2026-08-06,H1,IL,IN,IL|KANKAKEE,IN|LAKE,NGPL-NICOR,ANR-Joliet Hub,,,,89.0344,,,,Missing_N
2026-08-06,H1,IL,IL,IL|KENDALL,IL|LASALLE,ANR-Joliet Hub,NGPL-NICOR,,,,89.0344,,,,Missing_N
2026-08-06,H1,IL,IL,IL|MOULTRIE,IL|PIATT,REX E-NGPL,NGPL-NICOR,71,58.9286,,89.0344,83.75,Medium,Normal,Imputed_W
2026-08-06,H1,IL,IN,IL|WHITE,IN|GIBSON,TETCO-M1 24,TETCO-M2 (receipt),67,53.3069,,89.0344,80.39,Medium,Normal,Imputed_W
2026-08-06,H1,IL,IN,IL|WHITE,IN|POSEY,TETCO-M1 24,TETCO-M2 (receipt),67,53.3069,,89.0344,80.39,Medium,Normal,Imputed_W
2026-08-06,H1,IN,IN,IN|DECATUR,IN|SHELBY,TETCO-M2 (receipt),REX E-ANR,66,65.8333,,,78.8,Medium,Normal,Imputed_WP
2026-08-06,H1,KS,KS,KS|BARBER,KS|COMANCHE,Panhandle,ANR-SW,77,72.3677,81.8363,,90.46,High,Expansion_Risk,Imputed_P
2026-08-06,H1,KS,OK,KS|BARBER,OK|ALFALFA,Panhandle,southern star,65,57.4206,81.8363,,76.33,Medium,Normal,Imputed_P
2026-08-06,H1,KS,OK,KS|COMANCHE,OK|WOODS,ANR-SW,Panhandle,77,72.3677,81.8363,,90.46,High,Expansion_Risk,Imputed_P
2026-08-06,H1,KS,KS,KS|HARPER,KS|SUMNER,Panhandle,EGT-West,80,77.0012,81.8363,,98.23,High,Expansion_Risk,Imputed_P
2026-08-06,H1,KS,OK,KS|HARPER,OK|ALFALFA,Panhandle,southern star,65,57.4206,81.8363,,76.33,Medium,Normal,Imputed_P
2026-08-06,H1,KS,OK,KS|HARPER,OK|GRANT,Panhandle,EGT-West,80,77.0012,81.8363,,98.23,High,Expansion_Risk,Imputed_P
2026-08-06,H1,KS,KS,KS|KINGMAN,KS|SUMNER,Panhandle,EGT-West,80,77.0012,81.8363,,98.23,High,Expansion_Risk,Imputed_P
2026-08-06,H1,LA,LA,LA|ACADIA,LA|EVANGELINE,TGT-SL,Pine Prairie,39,39.1931,,,33.92,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|ACADIA,LA|VERMILION,TGT-SL,Henry,82,81.8122,,,99.29,High,Expansion_Risk,Imputed_WP
2026-08-06,H1,LA,LA,LA|ALLEN,LA|EVANGELINE,TETCO-WLA,Pine Prairie,37,36.6667,,,27.92,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|ALLEN,LA|JEFFERSON DAVIS,TETCO-WLA,TGT-SL,36,35.7937,,,25.09,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|ALLEN,LA|RAPIDES,TETCO-WLA,Pine Prairie,37,36.6667,,,27.92,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|ASCENSION,LA|EAST BATON ROUGE,Sonat-Z0 South,FGT-Z2,,,,,,,,Missing_N
2026-08-06,H1,LA,LA,LA|ASCENSION,LA|IBERVILLE,Sonat-Z0 South,TETCO-ELA,55,55.3968,,,63.07,Medium,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|ASCENSION,LA|ST JAMES,Sonat-Z0 South,Transco-65,58,57.8836,,,72.44,Medium,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|BEAUREGARD,LA|CALCASIEU,TETCO-WLA,Transco-45,37,36.7593,,,27.92,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|BEAUREGARD,LA|JEFFERSON DAVIS,TETCO-WLA,TGT-SL,36,35.7937,,,25.09,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|BIENVILLE,LA|BOSSIER,TETCO-ETX,TGT-Mainline,14,13.9286,,,1.41,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|BIENVILLE,LA|CLAIBORNE,TETCO-ETX,TGT-Mainline,14,13.9286,,,1.41,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|BIENVILLE,LA|JACKSON,TETCO-ETX,TGP-Z0 North,56,56.0053,,,66.96,Medium,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|BIENVILLE,LA|NATCHITOCHES,TETCO-ETX,TGP-Z0 North,56,56.0053,,,66.96,Medium,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|BIENVILLE,LA|WEBSTER,TETCO-ETX,TGT-Mainline,14,13.9286,,,1.41,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|CADDO,LA|DE SOTO,TGT-Mainline,TETCO-ETX,14,13.9286,,,1.41,Low,Normal,Imputed_WP
2026-08-06,H1,LA,TX,LA|CADDO,TX|CASS,TGT-Mainline,NGPL-TXOK East,35,34.5899,33.5329,,22.79,Low,Normal,Imputed_P
2026-08-06,H1,LA,TX,LA|CADDO,TX|HARRISON,TGT-Mainline,NGPL-TXOK East,35,34.5899,33.5329,,22.79,Low,Normal,Imputed_P
2026-08-06,H1,LA,TX,LA|CADDO,TX|MARION,TGT-Mainline,EGT-South,,,33.5329,,,,,Missing_N
2026-08-06,H1,LA,TX,LA|CADDO,TX|PANOLA,TGT-Mainline,Carthage,65,74.8677,33.5329,,76.33,Medium,Normal,Imputed_P
2026-08-06,H1,LA,LA,LA|CALCASIEU,LA|CAMERON,Transco-45,ANR-SE-T,36,35.8995,,,25.09,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|CALCASIEU,LA|JEFFERSON DAVIS,Transco-45,TGT-SL,36,36.1905,,,25.09,Low,Normal,Imputed_WP
2026-08-06,H1,LA,TX,LA|CALCASIEU,TX|NEWTON,Transco-45,TETCO-WLA,36,36.7593,33.5329,,25.09,Low,Normal,Imputed_P
2026-08-06,H1,LA,TX,LA|CALCASIEU,TX|ORANGE,Transco-45,Golden Triangle,,,33.5329,,,,,Missing_N
2026-08-06,H1,LA,LA,LA|CALDWELL,LA|FRANKLIN,TGT-Mainline,CG-Mainline,74,73.836,,,88.16,High,Expansion_Risk,Imputed_WP
2026-08-06,H1,LA,LA,LA|CALDWELL,LA|JACKSON,TGT-Mainline,TGP-Z0 North,45,45.0926,,,45.23,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|CALDWELL,LA|RICHLAND,TGT-Mainline,CG-Mainline,74,73.836,,,88.16,High,Expansion_Risk,Imputed_WP
2026-08-06,H1,LA,LA,LA|CAMERON,LA|JEFFERSON DAVIS,ANR-SE-T,TGT-SL,41,41.4021,,,37.63,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|CAMERON,LA|VERMILION,ANR-SE-T,Henry,84,83.5979,,,100.0,High,Expansion_Risk,Imputed_WP
2026-08-06,H1,LA,TX,LA|CAMERON,TX|JEFFERSON,ANR-SE-T,Golden Triangle,,,33.5329,,,,,Missing_N
2026-08-06,H1,LA,TX,LA|CAMERON,TX|ORANGE,ANR-SE-T,Golden Triangle,,,33.5329,,,,,Missing_N
2026-08-06,H1,LA,LA,LA|CLAIBORNE,LA|LINCOLN,TGT-Mainline,TETCO-ETX,14,13.9286,,,1.41,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|DE SOTO,LA|NATCHITOCHES,TETCO-ETX,TGP-Z0 North,56,56.0053,,,66.96,Medium,Normal,Imputed_WP
2026-08-06,H1,LA,TX,LA|DE SOTO,TX|PANOLA,TETCO-ETX,Carthage,52,58.3995,33.5329,,57.24,Medium,Normal,Imputed_P
2026-08-06,H1,LA,LA,LA|EAST BATON ROUGE,LA|EAST FELICIANA,FGT-Z2,TETCO-ELA,,,,,,,,Missing_N
2026-08-06,H1,LA,LA,LA|EAST BATON ROUGE,LA|IBERVILLE,FGT-Z2,TETCO-ELA,,,,,,,,Missing_N
2026-08-06,H1,LA,LA,LA|EAST BATON ROUGE,LA|LIVINGSTON,FGT-Z2,Sonat-Z0 South,,,,,,,,Missing_N
2026-08-06,H1,LA,LA,LA|EAST BATON ROUGE,LA|ST HELENA,FGT-Z2,FGT-Z3,,,,,,,,Missing_N
2026-08-06,H1,LA,LA,LA|EAST CARROLL,LA|WEST CARROLL,CG-Mainline,Trunkline-Z1A,65,65.119,,,76.33,Medium,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|EAST FELICIANA,LA|ST HELENA,TETCO-ELA,FGT-Z3,58,57.5265,,,72.44,Medium,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|EAST FELICIANA,LA|WEST BATON ROUGE,TETCO-ELA,FGT-Z2,,,,,,,,Missing_N
2026-08-06,H1,LA,LA,LA|EVANGELINE,LA|JEFFERSON DAVIS,Pine Prairie,TGT-SL,39,39.1931,,,33.92,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|GRANT,LA|NATCHITOCHES,TGT-Mainline,TGP-Z0 North,45,45.0926,,,45.23,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|GRANT,LA|RAPIDES,TGT-Mainline,Pine Prairie,24,23.9683,,,8.66,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|IBERVILLE,LA|ST MARTIN,TETCO-ELA,Sonat-Z0 South,55,55.3968,,,63.07,Medium,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|IBERVILLE,LA|WEST BATON ROUGE,TETCO-ELA,FGT-Z2,,,,,,,,Missing_N
2026-08-06,H1,LA,LA,LA|JACKSON,LA|LINCOLN,TGP-Z0 North,TETCO-ETX,56,56.0053,,,66.96,Medium,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|JACKSON,LA|OUACHITA,TGP-Z0 North,TGT-Mainline,45,45.0926,,,45.23,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|JEFFERSON,LA|ST CHARLES,TETCO-ELA,CG-Onshore,21,21.3624,,,3.89,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|JEFFERSON DAVIS,LA|VERMILION,TGT-SL,Henry,82,81.8122,,,99.29,High,Expansion_Risk,Imputed_WP
2026-08-06,H1,LA,LA,LA|LAFAYETTE,LA|ST MARTIN,TGT-SL,Sonat-Z0 South,73,73.373,,,86.75,High,Expansion_Risk,Imputed_WP
2026-08-06,H1,LA,LA,LA|LAFAYETTE,LA|VERMILION,TGT-SL,Henry,82,81.8122,,,99.29,High,Expansion_Risk,Imputed_WP
2026-08-06,H1,LA,LA,LA|LAFOURCHE,LA|ST CHARLES,TETCO-ELA,CG-Onshore,21,21.3624,,,3.89,Low,Normal,Imputed_WP
2026-08-06,H1,LA,LA,LA|LAFOURCHE,LA|ST JAMES,TETCO-ELA,Transco-65,73,72.9894,,,86.75,High,Expansion_Risk,Imputed_WP
