market_component,Region,price_region,My group,fill_confidence
APC-ACE,Midwest,Midwest - Chicago,"Groups 3, 5: Midwest Chicago",Existing
Chicago,Midwest,Midwest - Chicago,"Groups 3, 5: Midwest Chicago",Existing
NBPL-Ventura,Midwest,Midwest - Chicago,"Groups 3, 5: Midwest Chicago",Existing
NGPL-Nicor,Midwest,Midwest - Chicago,"Groups 3, 5: Midwest Chicago",Existing
NGPL-Nipsco,Midwest,Midwest - Chicago,"Groups 3, 5: Midwest Chicago",Existing
NNG-Demarc,Midwest,Midwest - Chicago,"Groups 3, 5: Midwest Chicago",Existing
NNG-Ventura,Midwest,Midwest - Chicago,"Groups 3, 5: Midwest Chicago",Existing
REX E-ANR,Midwest,Midwest - Chicago,"Groups 3, 5: Midwest Chicago",High
REX E-MidW,Midwest,Midwest - Chicago,"Groups 3, 5: Midwest Chicago",High
REX E-NGPL,Midwest,Midwest - Chicago,"Groups 3, 5: Midwest Chicago",High
REX-Z3 Del Pool,Midwest,Midwest - Chicago,"Groups 3, 5: Midwest Chicago",Existing
Consumers,Midwest,Midwest - Demand,"Groups 1, 12, 18: Northeast Appalachia",Existing
Michcon,Midwest,Midwest - Demand,"Groups 1, 12, 18: Northeast Appalachia",Existing
PGLC,Midwest,Midwest - Demand,"Groups 3, 5: Midwest Chicago",Existing
Eastern Gas-North,Northeast,Northeast - Appalachia,"Groups 1, 12, 18: Northeast Appalachia",Existing
Eastern Gas-South,Northeast,Northeast - Appalachia,"Groups 1, 12, 18: Northeast Appalachia",Existing
Lebanon,Northeast,Northeast - Appalachia,"Groups 3, 5: Midwest Chicago",Existing
Leidy-Transco,Northeast,Northeast - Appalachia,"Groups 1, 12, 18: Northeast Appalachia",Existing
Millennium East Pool,Northeast,Northeast - Appalachia,"Groups 1, 12, 18: Northeast Appalachia",Existing
Rover (receipt),Northeast,Northeast - Appalachia,"Groups 1, 12, 18: Northeast Appalachia",Existing
Rover-ANR,Northeast,Northeast - Appalachia,"Groups 1, 12, 18: Northeast Appalachia",Existing
Rover-PEPL,Northeast,Northeast - Appalachia,"Groups 1, 12, 18: Northeast Appalachia",High
TCO,Northeast,Northeast - Appalachia,"Groups 1, 12, 18: Northeast Appalachia",Existing
TETCO-M2 (receipt),Northeast,Northeast - Appalachia,"Groups 1, 12, 18: Northeast Appalachia",Existing
TGP-Z4 300L,Northeast,Northeast - Appalachia,"Groups 1, 12, 18: Northeast Appalachia",Existing
TGP-Z4 Marcellus,Northeast,Northeast - Appalachia,"Groups 1, 12, 18: Northeast Appalachia",High
TGP-Z4 Sta-219,Northeast,Northeast - Appalachia,"Groups 1, 12, 18: Northeast Appalachia",Existing
TGP-Z4 Sta-313,Northeast,Northeast - Appalachia,"Groups 1, 12, 18: Northeast Appalachia",Existing
Union-Dawn,Northeast,Northeast - Appalachia,"Groups 1, 12, 18: Northeast Appalachia",Existing
AGT-CG (non-G),Northeast,Northeast - Demand,Group 4: Northeast Demand,Existing
Iroquois (into),Northeast,Northeast - Demand,Group 4: Northeast Demand,Existing
Millennium-Ramapo,Northeast,Northeast - Demand,"Groups 1, 12, 18: Northeast Appalachia",Existing
TETCO-M3,Northeast,Northeast - Demand,"Groups 1, 12, 18: Northeast Appalachia",Existing
TGP-Mahwah,Northeast,Northeast - Demand,"Groups 1, 12, 18: Northeast Appalachia",Existing
TGP-Z5 200L,Northeast,Northeast - Demand,Group 4: Northeast Demand,Existing
Transco-165,Northeast,Northeast - Demand,"Groups 1, 12, 18: Northeast Appalachia",Existing
Transco-Z5,Northeast,Northeast - Demand,Group 999: Special Outliers,Existing
Transco-Z5 North,Northeast,Northeast - Demand,"Groups 1, 12, 18: Northeast Appalachia",Existing
Transco-Z5 South,Northeast,Northeast - Demand,Group 7: Southeast,Existing
Transco-Z6 (NY),Northeast,Northeast - Demand,"Groups 1, 12, 18: Northeast Appalachia",Existing
Transco-Z6 (non-NY north),Northeast,Northeast - Demand,"Groups 1, 12, 18: Northeast Appalachia",Existing
Transco-Z6 (non-NY south),Northeast,Northeast - Demand,"Groups 1, 12, 18: Northeast Appalachia",Existing
Transco-Z6 Sta-210,Northeast,Northeast - Demand,"Groups 1, 12, 18: Northeast Appalachia",Existing
Iroquois-Z2,Northeast,Northeast - Demand Rest,Group 4: Northeast Demand,Existing
PNGTS,Northeast,Northeast - Demand Rest,Group 4: Northeast Demand,Existing
TGP-Z6 200L North,Northeast,Northeast - Demand Rest,Group 4: Northeast Demand,Existing
TGP-Z6 200L South,Northeast,Northeast - Demand Rest,Group 4: Northeast Demand,Existing
TGP-Z6 300L,Northeast,Northeast - Demand Rest,Group 4: Northeast Demand,Existing
CIG-Mainline South,Rockies,Mountain - Opal,Group 9: Mountain Opal,Existing
NWP-Rocky Mtn,Rockies,Mountain - Opal,Group 9: Mountain Opal,Existing
Ruby-Rec Pool,Rockies,Mountain - Opal,Group 9: Mountain Opal,High
CIG-Mainline,Rockies,Mountain - Rockies,Group 2: Mountain WesTex,Existing
