Component,Parent_Group_Label,Subgroup_Label,Final Mark,Own_History_Expected_Value,Own_History_Delta,Own_History_Direction,Hist_Median,Hist_Effective_Scale,Hist_Robust_SD,Forward_Robust_Z,Forward_Abs_Z,Own_History_Range_Watch_Low,Own_History_Range_Watch_High,Own_History_Range_Outlier_Low,Own_History_Range_Outlier_High,Own_History_Range_Strong_Low,Own_History_Range_Strong_High,Chosen_Group_Level,Chosen_Group_Selected_Peer_Count,Chosen_Group_Reliability,Chosen_Group_Peer_Trusted,Chosen_Group_Direction_Agree,Chosen_Group_Peer_Implied_Final_Mark,Chosen_Group_Peer_Residual,Chosen_Group_Peer_Residual_Z,Chosen_Group_Peer_Signal,Chosen_Group_Peer_Score_v2,Chosen_Group_Peer_Direction,Chosen_Group_Mean_Pair_Scale,Chosen_Group_Peer_Range_Watch_Low,Chosen_Group_Peer_Range_Watch_High,Chosen_Group_Peer_Range_Outlier_Low,Chosen_Group_Peer_Range_Outlier_High,Chosen_Group_Peer_Range_Strong_Low,Chosen_Group_Peer_Range_Strong_High,Overall_Combined_Score,Group_Outlier_Flag,HistCal_Check_Type,HistCal_Window_Label,HistCal_Actual_Label,HistCal_CurrentMTD_Z,HistCal_Mark_Mean,HistCal_Mark_Delta,HistCal_Mark_Z,HistCal_Transition,HistCal_Transition_Mean,HistCal_Transition_Delta,HistCal_Transition_Magnitude_Delta,HistCal_Transition_Degree,HistCal_Transition_Degree_Score,HistCal_Component_CurrentMonth_SD,HistCal_Component_HistoricalMonth_SD,HistCal_Transition_Degree_Scale_Source,HistCal_Transition_Z,HistCal_Sample_Years,HistCal_Pattern,Rule_Hits,Outlier_Reasons
Eastern Gas-South,Global_G03,Global_G03_S03,-1.323,-0.7875000000000001,-0.5354999999999999,Lower than own-history expected value,-0.7875000000000001,0.15196650000000003,0.15196650000000003,-3.523802943411869,3.523802943411869,-1.091433,-0.483567,-1.2433995000000002,-0.33160049999999996,-1.395366,-0.17963399999999996,OwnHistoryOnly,0,,False,False,,,,,0.0,,,,,,,,,3.523802943411869,Outlier,balmo_transition,August 22-31,August 21,-0.5581038649576364,-0.9256168519762985,-0.39738314802370145,-0.8458217641339263,-0.23319999999999985,-0.06304305141595754,-0.17015694858404232,0.17015694858404232,mild,0.9837523455413586,0.17296726087133749,0.6791318424340956,current-month,-0.7972227009366576,26,mild stronger than history,|Forward_Robust_Z| >= 3.0,history=moderately below own-history expected value; own z=3.52; pattern=mild stronger than history; historical check type=balmo_transition; historical window=August 22-31; actual point=August 21; current month name=August; mark month name=August; mark history mean=-0.93; mark history delta=-0.40; current transition=-0.23; transition mean=-0.06; transition delta=-0.17; transition magnitude delta=+0.17; transition degree=mild; transition degree score=0.98; component current-month sd=0.17; component historical month sd=0.68; transition degree scale source=current-month; actual-to-date z=-0.56; mark z=-0.85; transition z=-0.80; pattern years=26
Michcon,Global_G01,Global_G01_S08,-0.49350000000000005,-0.27500000000000013,-0.21849999999999992,Lower than own-history expected value,-0.27500000000000013,0.14826000000000011,0.14826000000000011,-1.4737623094563588,1.4737623094563588,-0.5715200000000004,0.021520000000000095,-0.7197800000000005,0.1697800000000002,-0.8680400000000006,0.3180400000000003,Parent,22,0.9696037595141422,True,True,-0.44201622113470196,-0.05148377886529818,-1.2967882888068405,1.2573708001210238,1.2769274561558421,Lower than peer-implied value,0.033181080954055836,-0.4841376793504143,-0.3998947629189896,-0.5262591375661266,-0.3577733047032773,-0.5094105542798417,-0.37462188798956225,1.9500048905217573,Watch,balmo_transition,August 22-31,August 21,-0.38485361831948,-0.2606878293215087,-0.23281217067849136,-1.202396390156788,-0.16489999999999982,-0.014502570302735999,-0.15039742969726383,0.15039742969726383,strong,1.973246908452933,0.0762182517823776,0.2044089874017023,current-month,-1.7102698475771658,26,stronger than history,Trusted peer score >= 1.25,history=Lower than own-history expected value; peers=slightly below peer-implied value; parent peers=22; peer model trusted; peer score v2=1.28 watch; history/peer direction agree; pattern=stronger than history; historical check type=balmo_transition; historical window=August 22-31; actual point=August 21; current month name=August; mark month name=August; mark history mean=-0.26; mark history delta=-0.23; current transition=-0.16; transition mean=-0.01; transition delta=-0.15; transition magnitude delta=+0.15; transition degree=strong; transition degree score=1.97; component current-month sd=0.08; component historical month sd=0.20; transition degree scale source=current-month; actual-to-date z=-0.38; mark z=-1.20; transition z=-1.71; pattern years=26
NNG-Demarc,Global_G01,Global_G01_S09,-0.44399999999999995,-0.3099999999999996,-0.13400000000000034,Lower than own-history expected value,-0.3099999999999996,0.14455349999999922,0.14455349999999922,-0.9269924284088663,0.9269924284088663,-0.5991069999999981,-0.02089300000000116,-0.7436604999999973,0.12366049999999806,-0.8882139999999965,0.2682139999999973,Parent,22,0.9655455522067992,True,False,-0.4858132099816876,0.04181320998168769,1.3263856347154355,1.280685750110481,1.3033354063829095,Higher than peer-implied value,0.03899183551093298,-0.5354149953697828,-0.4362114245935924,-0.5850167807578779,-0.3866096392054973,-0.5651760666026399,-0.4064503533607353,1.5993742976109973,Watch,balmo_transition,August 22-31,August 21,-0.004817193236289133,-0.3444609020909023,-0.09953909790909765,-0.47051861016380647,-0.1046999999999998,-0.006273178038822858,-0.09842682196117694,0.09842682196117694,moderate,1.173316018255479,0.08388773393507476,0.273220056064478,current-month,-1.076809984248213,26,moderate stronger than history,Trusted peer score >= 1.25,history=Lower than own-history expected value; peers=slightly above peer-implied value; parent peers=22; peer model trusted; peer score v2=1.30 watch; history/peer direction disagree; pattern=moderate stronger than history; historical check type=balmo_transition; historical window=August 22-31; actual point=August 21; current month name=August; mark month name=August; mark history mean=-0.34; mark history delta=-0.10; current transition=-0.10; transition mean=-0.01; transition delta=-0.10; transition magnitude delta=+0.10; transition degree=moderate; transition degree score=1.17; component current-month sd=0.08; component historical month sd=0.27; transition degree scale source=current-month; actual-to-date z=-0.00; mark z=-0.47; transition z=-1.08; pattern years=26
Panhandle,Global_G07,Global_G07_S01,-0.698,-0.43999999999999995,-0.258,Lower than own-history expected value,-0.43999999999999995,0.16679249999999973,0.16679249999999973,-1.5468321417329942,1.5468321417329942,-0.7735849999999994,-0.10641500000000048,-0.9403774999999992,0.06037749999999931,-1.1071699999999989,0.22716999999999898,OwnHistoryOnly,0,,False,False,,,,,0.0,,,,,,,,,1.5468321417329942,In-family,balmo_transition,August 22-31,August 21,-0.19644345521154002,-0.49069696169260996,-0.20730303830739,-0.9088341742246021,-0.18989999999999974,-0.03028194408385323,-0.1596180559161465,0.1596180559161465,strong,1.7045548449178316,0.09364207692820874,0.3268714292262313,current-month,-1.909304203015839,26,stronger than history,Below trust-gated watch / outlier / strong-outlier thresholds,history=Lower than own-history expected value; pattern=stronger than history; historical check type=balmo_transition; historical window=August 22-31; actual point=August 21; current month name=August; mark month name=August; mark history mean=-0.49; mark history delta=-0.21; current transition=-0.19; transition mean=-0.03; transition delta=-0.16; transition magnitude delta=+0.16; transition degree=strong; transition degree score=1.70; component current-month sd=0.09; component historical month sd=0.33; transition degree scale source=current-month; actual-to-date z=-0.20; mark z=-0.91; transition z=-1.91; pattern years=26
Chicago,Global_G01,Global_G01_S01,-0.4434999999999998,-0.2549999999999999,-0.1884999999999999,Lower than own-history expected value,-0.2549999999999999,0.14826000000000011,0.14826000000000011,-1.2714150816133802,1.2714150816133802,-0.5515200000000001,0.041520000000000334,-0.6997800000000003,0.18978000000000045,-0.8480400000000003,0.33804000000000056,Parent,22,0.9789528958605825,True,False,-0.4444122029747722,0.00091220297477236,-0.030881147864921226,0.03023118912986348,0.03055444029354348,Higher than peer-implied value,0.03073529231743146,-0.4832421200673274,-0.40558228588221695,-0.5220720371598827,-0.36675236878966166,-0.5065400703228606,-0.3822843356266838,1.2717821682881114,In-family,balmo_transition,August 22-31,August 21,-0.49643589083625295,-0.25262402501792514,-0.19087597498207465,-1.1020896206946513,-0.09850000000000003,-0.004383128342438011,-0.09411687165756202,0.09411687165756202,moderate,1.0511182164250796,0.08953975888426664,0.16772408825665783,current-month,-1.0978270527230194,26,moderate stronger than history,Below trust-gated watch / outlier / strong-outlier thresholds,history=Lower than own-history expected value; peers=Higher than peer-implied value; parent peers=22; peer model trusted; history/peer direction disagree; pattern=moderate stronger than history; historical check type=balmo_transition; historical window=August 22-31; actual point=August 21; current month name=August; mark month name=August; mark history mean=-0.25; mark history delta=-0.19; current transition=-0.10; transition mean=-0.00; transition delta=-0.09; transition magnitude delta=+0.09; transition degree=moderate; transition degree score=1.05; component current-month sd=0.09; component historical month sd=0.17; transition degree scale source=current-month; actual-to-date z=-0.50; mark z=-1.10; transition z=-1.10; pattern years=26
NNG-Ventura,Global_G01,Global_G01_S06,-0.46599999999999975,-0.29499999999999993,-0.17099999999999982,Lower than own-history expected value,-0.29499999999999993,0.14825999999999978,0.14825999999999978,-1.1533791987049782,1.1533791987049782,-0.5915199999999995,0.0015199999999996328,-0.7397799999999992,0.1497799999999994,-0.888039999999999,0.2980399999999992,Parent,22,0.9537714675868688,True,False,-0.47399073396569397,0.007990733965694287,-0.019714785114478023,0.01880339953179546,0.019253700454484695,Higher than peer-implied value,0.04223392424761414,-0.5280474036855733,-0.41993406424581464,-0.5821040734054526,-0.3658773945259353,-0.5604814055175009,-0.38750006241388707,1.1535398913720012,In-family,balmo_transition,August 22-31,August 21,0.005398476202546942,-0.33612195265636924,-0.1298780473436305,-0.6679624261094169,-0.1307999999999998,0.00023418729477747238,-0.13103418729477728,0.13056581270522233,strong,1.5208756688775726,0.08584910349810626,0.24168121700229497,current-month,-1.2091712800854375,26,stronger than history,Below trust-gated watch / outlier / strong-outlier thresholds,history=Lower than own-history expected value; peers=Higher than peer-implied value; parent peers=22; peer model trusted; history/peer direction disagree; pattern=stronger than history; historical check type=balmo_transition; historical window=August 22-31; actual point=August 21; current month name=August; mark month name=August; mark history mean=-0.34; mark history delta=-0.13; current transition=-0.13; transition mean=+0.00; transition delta=-0.13; transition magnitude delta=+0.13; transition degree=strong; transition degree score=1.52; component current-month sd=0.09; component historical month sd=0.24; transition degree scale source=current-month; actual-to-date z=0.01; mark z=-0.67; transition z=-1.21; pattern years=26
FGT-Z3,Global_G12,Global_G12_S01,1.1213000000000002,0.905,0.21630000000000016,Higher than own-history expected value,0.905,0.25945500000000005,0.25945500000000005,0.833670578713072,0.833670578713072,0.38608999999999993,1.4239100000000002,0.12663499999999983,1.6833650000000002,-0.13282000000000016,1.9428200000000002,Subgroup,2,0.9475167141480998,False,True,0.9501978184802404,0.1711021815197598,1.6486691480194993,1.5621415738487832,0.0,Higher than peer-implied value,0.1037820000000001,0.8169259124427933,1.0834697245176874,0.6836540064053462,1.2167416305551346,0.7369627688203251,1.1634328681401558,0.833670578713072,In-family,balmo_transition,August 22-31,August 21,5.141321091949675,0.304175634023268,0.8171243659767322,3.14532493431253,-0.4980000000000002,0.03634863671006776,-0.5343486367100679,0.46165136328993245,,,0.7938676778909696,0.4932321216437597,current-month,-2.0704078465622575,26,opposite transition,Below trust-gated watch / outlier / strong-outlier thresholds,history=Higher than own-history expected value; peers=Higher than peer-implied value; subgroup peers=2; peer model untrusted; pattern=opposite transition; historical check type=balmo_transition; historical window=August 22-31; actual point=August 21; current month name=August; mark month name=August; mark history mean=+0.30; mark history delta=+0.82; current transition=-0.50; transition mean=+0.04; transition delta=-0.53; transition magnitude delta=+0.46; component current-month sd=0.79; component historical month sd=0.49; transition degree scale source=current-month; actual-to-date z=5.14; mark z=3.15; transition z=-2.07; pattern years=26
CIG-Mainline,Global_G02,Global_G02_S03,-0.5640000000000001,-0.4035000000000002,-0.16049999999999986,Lower than own-history expected value,-0.4035000000000002,0.2424051000000003,0.2424051000000003,-0.6621147822384912,0.6621147822384912,-0.8883102000000007,0.08131020000000039,-1.1307153000000012,0.3237153000000007,-1.3731204000000012,0.566120400000001,OwnHistoryOnly,0,,False,False,,,,,0.0,,,,,,,,,0.6621147822384912,In-family,balmo_transition,August 22-31,August 21,0.25883212963788255,-0.5198711464309836,-0.04412885356901641,-0.13136203929066265,-0.1419999999999999,-0.01709706375913963,-0.12490293624086027,0.12490293624086027,moderate,1.2376481802636623,0.10091958137428973,0.8155077876600374,current-month,-1.2170829872368896,26,moderate stronger than history,Below trust-gated watch / outlier / strong-outlier thresholds,history=Lower than own-history expected value; pattern=moderate stronger than history; historical check type=balmo_transition; historical window=August 22-31; actual point=August 21; current month name=August; mark month name=August; mark history mean=-0.52; mark history delta=-0.04; current transition=-0.14; transition mean=-0.02; transition delta=-0.12; transition magnitude delta=+0.12; transition degree=moderate; transition degree score=1.24; component current-month sd=0.10; component historical month sd=0.82; transition degree scale source=current-month; actual-to-date z=0.26; mark z=-0.13; transition z=-1.22; pattern years=26
Transco-85,Global_G12,Global_G12_S02,0.9683000000000002,0.8249999999999997,0.14330000000000043,Higher than own-history expected value,0.8249999999999997,0.2298029999999997,0.2298029999999997,0.6235775860193322,0.6235775860193322,0.36539400000000033,1.2846059999999992,0.13559100000000068,1.5144089999999988,-0.09421199999999907,1.7442119999999985,Parent,4,0.9745376648348647,True,True,0.9496458151478786,0.018654184852121617,0.17467854936407082,0.1702308255940032,0.17244034815497394,Higher than peer-implied value,0.06990922300425924,0.8611250470082593,1.0381665832874978,0.7726042788686401,1.1266873514271172,0.8080125861244878,1.0912790441712694,0.6469812048719085,In-family,balmo_transition,August 22-31,August 21,7.056219911617804,0.19034356005493436,0.7779564399450658,3.8438848052042927,-0.5902999999999996,0.027377185809040087,-0.6176771858090397,0.5629228141909595,,,0.7873441995540633,0.30758686043108296,current-month,-2.6801383578308666,26,opposite transition,Below trust-gated watch / outlier / strong-outlier thresholds,history=Higher than own-history expected value; peers=Higher than peer-implied value; parent peers=4; peer model trusted; history/peer direction agree; pattern=opposite transition; historical check type=balmo_transition; historical window=August 22-31; actual point=August 21; current month name=August; mark month name=August; mark history mean=+0.19; mark history delta=+0.78; current transition=-0.59; transition mean=+0.03; transition delta=-0.62; transition magnitude delta=+0.56; component current-month sd=0.79; component historical month sd=0.31; transition degree scale source=current-month; actual-to-date z=7.06; mark z=3.84; transition z=-2.68; pattern years=26
PG&E-Citygate,Global_G17,Global_G17_S01,0.5,0.1499999999999999,0.3500000000000001,Higher than own-history expected value,0.1499999999999999,0.585627,0.585627,0.5976500400425528,0.5976500400425528,-1.021254,1.321254,-1.606881,1.9068809999999998,-2.192508,2.492508,OwnHistoryOnly,0,,False,False,,,,,0.0,,,,,,,,,0.5976500400425528,In-family,balmo_transition,August 22-31,August 21,-0.2637391005793488,0.7178864958635217,-0.2178864958635217,-0.39979208901643964,-0.1440999999999999,-0.09307104691108228,-0.05102895308891761,0.05102895308891761,slight,0.3774550036971268,0.13519214896900317,0.6894848932714219,current-month,-0.29262733762493515,26,slight stronger than history,Below trust-gated watch / outlier / strong-outlier thresholds,history=Higher than own-history expected value; pattern=slight stronger than history; historical check type=balmo_transition; historical window=August 22-31; actual point=August 21; current month name=August; mark month name=August; mark history mean=+0.72; mark history delta=-0.22; current transition=-0.14; transition mean=-0.09; transition delta=-0.05; transition magnitude delta=+0.05; transition degree=slight; transition degree score=0.38; component current-month sd=0.14; component historical month sd=0.69; transition degree scale source=current-month; actual-to-date z=-0.26; mark z=-0.40; transition z=-0.29; pattern years=26
