Component,Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,REGION,PriceRegionLabel,Tree_Depth,Tree_Level_1,Tree_Level_2,Tree_Level_3,Scope,Season,Fin Basis Name,Platts Market,Platt Market w/ ICE in the name,Platts Forward Settle,GasDaily,ICE Market,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis,Final Mark,Mark_Basis,Hist_Effective_Scale,Own_History_Expected_Value,Own_History_Delta,Forward_Z,Forward_Robust_Z,Forward_Abs_Z,Has_Forward_Final_Mark,HistCal_Check_Type,HistCal_Window_Label,HistCal_Actual_Label,HistCal_Current_Month,HistCal_Mark_Month,HistCal_CurrentMTD_Basis,HistCal_CurrentMTD_Z,HistCal_Mark_Mean,HistCal_Mark_Delta,HistCal_Mark_Z,HistCal_Transition,HistCal_Transition_Mean,HistCal_Transition_Delta,HistCal_Transition_Magnitude_Delta,HistCal_Transition_Z,HistCal_Sample_Years,HistCal_Pattern,HistCal_Transition_Degree,HistCal_Transition_Degree_Score,HistCal_Component_CurrentMonth_SD,HistCal_Component_HistoricalMonth_SD,HistCal_Transition_Degree_Scale_Source,Parent_Model_Label,Parent_Group_Size,Parent_Peers_With_Final_Mark,Parent_Selected_Peer_Count,Parent_Selected_Peers,Parent_Avg_Selected_Corr,Parent_Min_Selected_Corr,Parent_Max_Selected_Corr,Parent_Mean_Pair_Scale,Parent_Reliability,Parent_Peer_Implied_Final_Mark,Parent_Peer_Residual,Parent_Peer_Residual_Z,Subgroup_Model_Label,Subgroup_Group_Size,Subgroup_Peers_With_Final_Mark,Subgroup_Selected_Peer_Count,Subgroup_Selected_Peers,Subgroup_Avg_Selected_Corr,Subgroup_Min_Selected_Corr,Subgroup_Max_Selected_Corr,Subgroup_Mean_Pair_Scale,Subgroup_Reliability,Subgroup_Peer_Implied_Final_Mark,Subgroup_Peer_Residual,Subgroup_Peer_Residual_Z,Chosen_Group_Level,Chosen_Group_Label,Chosen_Group_Selected_Peer_Count,Chosen_Group_Selected_Peers,Chosen_Group_Reliability,Chosen_Group_Peer_Implied_Final_Mark,Chosen_Group_Peer_Residual,Chosen_Group_Mean_Pair_Scale,Chosen_Group_Peer_Residual_Z,Chosen_Group_Peer_Signal,Own_History_Direction,Chosen_Group_Peer_Direction,Chosen_Group_Peer_Trusted,Chosen_Group_Direction_Agree,Chosen_Group_Peer_Score_v2,Own_History_Range_Watch_Low,Own_History_Range_Watch_High,Own_History_Range_Outlier_Low,Own_History_Range_Outlier_High,Own_History_Range_Strong_Low,Own_History_Range_Strong_High,Chosen_Group_Peer_Watch_Threshold_Z,Chosen_Group_Peer_Outlier_Threshold_Z,Chosen_Group_Peer_Strong_Threshold_Z,Chosen_Group_Peer_Range_Watch_Low,Chosen_Group_Peer_Range_Watch_High,Chosen_Group_Peer_Range_Outlier_Low,Chosen_Group_Peer_Range_Outlier_High,Chosen_Group_Peer_Range_Strong_Low,Chosen_Group_Peer_Range_Strong_High,Overall_Combined_Score,Group_Outlier_Flag,Outlier_Reasons,Plot_Flag_Label,Plot_Flag_Short,Plot_Annotate,Plot_Label_Text,Plot_Flag_Priority
Eastern Gas-North,Global_G01,1,regular,Global_G01_S01,1,regular,Northeast,Northeast - Appalachia,3,Global_G01,Global_G01_S01,Eastern Gas-North,GLOBAL,Autumn,,Eastern Gas North FDt Com,,,,Eastern Gas-North,63,-0.905726984126984,0.21999062825078966,0.09916434958416531,-0.9099999999999999,0.2520419999999999,-1.36,-0.41500000000000004,2026-09-03,-1.1258,,,0.2520419999999999,-0.9099999999999999,,,,,False,balmo_transition,September 4-30,September 3,September,September,-1.1258,,,,,,,,,,21,,,,,,,Global_G01,21,3,19,Leidy-Transco | Millennium-Ramapo | TCO | TGP-Z4 Sta-219 | TGP-Z4 Sta-313 | TETCO-M3 | TGP-Mahwah | Transco-Z6 (non-NY north) | Transco-Z6 (non-NY south) | Transco-Z6 Sta-210 | Millennium East Pool | TGP-Z4 300L | TGP-Z4 Marcellus | Transco-165 | Transco-Z5 North | Transco-Z6 (NY) | Eastern Gas-South | TETCO-M2 (receipt) | Rover (receipt),0.9670972430322171,0.9339491221066508,0.9931214299920476,0.06263606001590696,0.9670972430322171,-1.3119711721674434,,,Global_G01 | Global_G01_S01,6,1,5,Leidy-Transco | Millennium-Ramapo | TCO | TGP-Z4 Sta-219 | TGP-Z4 Sta-313,0.9637908034118009,0.9474731592171909,0.9806472785714742,0.06198052418424685,0.9637908034118009,-1.3244999999999998,,,OwnHistoryOnly,,0,,,,,,,,,,False,False,0.0,-1.4140839999999997,-0.40591600000000017,-1.6661259999999996,-0.1538740000000003,-1.9181679999999994,0.09816799999999959,,,,,,,,,,0.0,No forward mark,No forward mark,,,False,,-1
Leidy-Transco,Global_G01,1,regular,Global_G01_S01,1,regular,Northeast,Northeast - Appalachia,3,Global_G01,Global_G01_S01,Leidy-Transco,GLOBAL,Autumn,LEIDY-TRANSCO,Transco Leidy Line receipts FDt Com,,"Transco, Leidy Line receipts",,Leidy-Transco,63,-0.841722222222222,0.24123440577675884,0.11365111155921978,-0.8699999999999999,0.2446289999999997,-1.3,-0.2749999999999999,2026-09-03,-1.0334999999999999,,,0.2446289999999997,-0.8699999999999999,,,,,False,balmo_transition,September 4-30,September 3,September,September,-1.0334999999999999,,,,,,,,,,13,,,,,,,Global_G01,21,3,19,Eastern Gas-North | Millennium-Ramapo | TCO | TGP-Z4 Sta-219 | TGP-Z4 Sta-313 | TETCO-M3 | TGP-Mahwah | Transco-Z6 (non-NY north) | Transco-Z6 (non-NY south) | Transco-Z6 Sta-210 | Millennium East Pool | TGP-Z4 300L | TGP-Z4 Marcellus | Transco-165 | Transco-Z5 North | Transco-Z6 (NY) | Eastern Gas-South | TETCO-M2 (receipt) | Rover (receipt),0.9721044339868712,0.9255548727312173,0.9894698793099456,0.0489936141886416,0.9721044339868712,-1.260147581806562,,,Global_G01 | Global_G01_S01,6,1,5,Eastern Gas-North | Millennium-Ramapo | TCO | TGP-Z4 Sta-219 | TGP-Z4 Sta-313,0.9643611980083197,0.9389544057516405,0.9846151600679567,0.06921506993898845,0.9643611980083197,-1.2844999999999998,,,OwnHistoryOnly,,0,,,,,,,,,,False,False,0.0,-1.3592579999999992,-0.38074200000000047,-1.603886999999999,-0.13611300000000082,-1.8485159999999987,0.10851599999999895,,,,,,,,,,0.0,No forward mark,No forward mark,,,False,,-1
Millennium-Ramapo,Global_G01,1,regular,Global_G01_S01,1,regular,Northeast,Northeast - Demand,3,Global_G01,Global_G01_S01,Millennium-Ramapo,GLOBAL,Autumn,,,,,TETCO-M3,Millennium-Ramapo,63,-0.8328698412698411,0.2400234199829195,0.11220593570250492,-0.8224,0.2428498799999999,-1.2561,-0.25039999999999996,2026-09-03,-1.0408,,,0.2428498799999999,-0.8224,,,,,False,balmo_transition,September 4-30,September 3,September,September,-1.0408,,,,,,,,,,8,,,,,,,Global_G01,21,3,19,Eastern Gas-North | Leidy-Transco | TCO | TGP-Z4 Sta-219 | TGP-Z4 Sta-313 | TETCO-M3 | TGP-Mahwah | Transco-Z6 (non-NY north) | Transco-Z6 (non-NY south) | Transco-Z6 Sta-210 | Millennium East Pool | TGP-Z4 300L | TGP-Z4 Marcellus | Transco-165 | Transco-Z5 North | Transco-Z6 (NY) | Eastern Gas-South | TETCO-M2 (receipt) | Rover (receipt),0.9713673004836243,0.9245881485639649,0.994682907512726,0.054678198174158886,0.9713673004836243,-1.2421727301383896,,,Global_G01 | Global_G01_S01,6,1,5,Eastern Gas-North | Leidy-Transco | TCO | TGP-Z4 Sta-219 | TGP-Z4 Sta-313,0.9568215833505669,0.9245881485639649,0.9846151600679567,0.07850399970292443,0.9568215833505669,-1.2418999999999998,,,OwnHistoryOnly,,0,,,,,,,,,,False,False,0.0,-1.3080997599999997,-0.3367002400000002,-1.5509496399999998,-0.09385036000000024,-1.7937995199999996,0.1489995199999996,,,,,,,,,,0.0,No forward mark,No forward mark,,,False,,-1
TCO,Global_G01,1,regular,Global_G01_S01,1,regular,Northeast,Northeast - Appalachia,3,Global_G01,Global_G01_S01,TCO,GLOBAL,Autumn,TCO,Col Gas Appal FDt Com,,"Columbia Gas, App.",,TCO,63,-0.7669555555555556,0.22574083468536307,0.07793230977878414,-0.76,0.2446289999999997,-1.2249999999999999,-0.31000000000000005,2026-09-03,-1.0781999999999998,-1.1794999999999998,Bid+Ask,0.2446289999999997,-0.76,-0.41949999999999976,-1.827513595488594,-1.7148416581844355,1.7148416581844355,True,balmo_transition,September 4-30,September 3,September,September,-1.0781999999999998,-1.234269778065685,-0.7419149136970643,-0.43758508630293547,-1.0120485928233003,-0.10129999999999995,-0.10348403519417468,0.0021840351941747327,-0.0021840351941747327,0.017699592298087975,26,in-line transition,,,0.024666036027974375,0.47985987465045066,current-month,Global_G01,21,2,19,Eastern Gas-North | Leidy-Transco | Millennium-Ramapo | TGP-Z4 Sta-219 | TGP-Z4 Sta-313 | TETCO-M3 | TGP-Mahwah | Transco-Z6 (non-NY north) | Transco-Z6 (non-NY south) | Transco-Z6 Sta-210 | Millennium East Pool | TGP-Z4 300L | TGP-Z4 Marcellus | Transco-165 | Transco-Z5 North | Transco-Z6 (NY) | Eastern Gas-South | TETCO-M2 (receipt) | Rover (receipt),0.9411708345307457,0.9079442847454912,0.9741771846705429,0.09303405413030136,0.9411708345307457,-1.1809879666991683,0.0014879666991686345,-0.024054134578341123,Global_G01 | Global_G01_S01,6,0,5,Eastern Gas-North | Leidy-Transco | Millennium-Ramapo | TGP-Z4 Sta-219 | TGP-Z4 Sta-313,0.9467022549824907,0.9245881485639648,0.9741771846705429,0.07648520122151195,0.9467022549824907,,,,Parent,Global_G01,19,Eastern Gas-North | Leidy-Transco | Millennium-Ramapo | TGP-Z4 Sta-219 | TGP-Z4 Sta-313 | TETCO-M3 | TGP-Mahwah | Transco-Z6 (non-NY north) | Transco-Z6 (non-NY south) | Transco-Z6 Sta-210 | Millennium East Pool | TGP-Z4 300L | TGP-Z4 Marcellus | Transco-165 | Transco-Z5 North | Transco-Z6 (NY) | Eastern Gas-South | TETCO-M2 (receipt) | Rover (receipt),0.9411708345307457,-1.1809879666991683,0.0014879666991686345,0.09303405413030136,-0.024054134578341123,0.022639049915012182,Lower than own-history expected value,Higher than peer-implied value,True,False,0.023335868387130684,-1.2492579999999993,-0.2707420000000006,-1.493886999999999,-0.02611300000000094,-1.7385159999999988,0.21851599999999882,1.288474365903957,2.576948731807914,2.0615589854463314,-1.3008599606021827,-1.0611159727961539,-1.420731954505197,-0.9412439788931394,-1.3727831569439914,-0.9891927764543451,1.7150004301451722,In-family,history=Lower than own-history expected value; peers=Higher than peer-implied value; parent peers=19; peer model trusted; history/peer direction disagree; pattern=in-line transition; historical check type=balmo_transition; historical window=September 4-30; actual point=September 3; current month name=September; mark month name=September; mark history mean=-0.74; mark history delta=-0.44; current transition=-0.10; transition mean=-0.10; transition delta=+0.00; transition magnitude delta=-0.00; component current-month sd=0.02; component historical month sd=0.48; transition degree scale source=current-month; actual-to-date z=-1.23; mark z=-1.01; transition z=0.02; pattern years=26,,,False,,0
TGP-Z4 Sta-219,Global_G01,1,regular,Global_G01_S01,1,regular,Northeast,Northeast - Appalachia,3,Global_G01,Global_G01_S01,TGP-Z4 Sta-219,GLOBAL,Autumn,,Tennessee Gas Pipeline Zone 4-200 leg FDt Com,ICE Tennessee zone 4 station 219 Pool FDt Com,,,TGP-Z4 Sta-219,63,-0.7533428571428571,0.2513639680303506,0.10843696729067218,-0.675,0.28169399999999956,-1.185,-0.27,2026-09-03,-1.0856,,,0.28169399999999956,-0.675,,,,,False,balmo_transition,September 4-30,September 3,September,September,-1.0856,,,,,,,,,,13,,,,,,,Global_G01,21,3,19,Eastern Gas-North | Leidy-Transco | Millennium-Ramapo | TCO | TGP-Z4 Sta-313 | TETCO-M3 | TGP-Mahwah | Transco-Z6 (non-NY north) | Transco-Z6 (non-NY south) | Transco-Z6 Sta-210 | Millennium East Pool | TGP-Z4 300L | TGP-Z4 Marcellus | Transco-165 | Transco-Z5 North | Transco-Z6 (NY) | Eastern Gas-South | TETCO-M2 (receipt) | Rover (receipt),0.9587595993350595,0.9438542450956664,0.9768144011552762,0.07225408382399395,0.9587595993350595,-1.1722093372969504,,,Global_G01 | Global_G01_S01,6,1,5,Eastern Gas-North | Leidy-Transco | Millennium-Ramapo | TCO | TGP-Z4 Sta-313,0.9540993035951271,0.9438542450956664,0.9768144011552762,0.07332298731188788,0.9540993035951271,-1.1744999999999999,,,OwnHistoryOnly,,0,,,,,,,,,,False,False,0.0,-1.2383879999999992,-0.11161200000000093,-1.5200819999999986,0.17008199999999862,-1.8017759999999983,0.4517759999999982,,,,,,,,,,0.0,No forward mark,No forward mark,,,False,,-1
TGP-Z4 Sta-313,Global_G01,1,regular,Global_G01_S01,1,regular,Northeast,Northeast - Appalachia,3,Global_G01,Global_G01_S01,TGP-Z4 Sta-313,GLOBAL,Autumn,,Tennessee Zone 4-313 Pool FDt Com,,"Tennessee, zone 4-313 Pool",,TGP-Z4 Sta-313,63,-0.8056952380952379,0.23277255923282106,0.09024768175052031,-0.77,0.23721599999999954,-1.23,-0.3650000000000002,2026-09-03,-1.0937999999999999,,,0.23721599999999954,-0.77,,,,,False,balmo_transition,September 4-30,September 3,September,September,-1.0937999999999999,,,,,,,,,,12,,,,,,,Global_G01,21,3,19,Eastern Gas-North | Leidy-Transco | Millennium-Ramapo | TCO | TGP-Z4 Sta-219 | TETCO-M3 | TGP-Mahwah | Transco-Z6 (non-NY north) | Transco-Z6 (non-NY south) | Transco-Z6 Sta-210 | Millennium East Pool | TGP-Z4 300L | TGP-Z4 Marcellus | Transco-165 | Transco-Z5 North | Transco-Z6 (NY) | Eastern Gas-South | TETCO-M2 (receipt) | Rover (receipt),0.9660981635558377,0.9420016024229529,0.9799894006834495,0.06124392464312968,0.9660981635558377,-1.2104741991576182,,,Global_G01 | Global_G01_S01,6,1,5,Eastern Gas-North | Leidy-Transco | Millennium-Ramapo | TCO | TGP-Z4 Sta-219,0.9704058965992729,0.957897921045806,0.9768144011552763,0.06094765546784442,0.9704058965992729,-1.2094999999999996,,,OwnHistoryOnly,,0,,,,,,,,,,False,False,0.0,-1.244431999999999,-0.29556800000000094,-1.4816479999999985,-0.0583520000000014,-1.7188639999999982,0.17886399999999814,,,,,,,,,,0.0,No forward mark,No forward mark,,,False,,-1
TETCO-M3,Global_G01,1,regular,Global_G01_S02,2,supergroup,Northeast,Northeast - Demand,3,Global_G01,Global_G01_S02,TETCO-M3,GLOBAL,Autumn,TETCO-M3,TX Eastern M-3 FDt Com,,"Texas Eastern, M-3",,TETCO-M3,63,-0.7735285714285716,0.2420645704502852,0.10769216058568472,-0.77,0.2520419999999999,-1.2049999999999998,-0.19499999999999984,2026-09-03,-0.9972999999999999,,,0.2520419999999999,-0.77,,,,,False,balmo_transition,September 4-30,September 3,September,September,-0.9972999999999999,,,,,,,,,,26,,,,,,,Global_G01,21,3,19,Eastern Gas-North | Leidy-Transco | Millennium-Ramapo | TCO | TGP-Z4 Sta-219 | TGP-Z4 Sta-313 | TGP-Mahwah | Transco-Z6 (non-NY north) | Transco-Z6 (non-NY south) | Transco-Z6 Sta-210 | Millennium East Pool | TGP-Z4 300L | TGP-Z4 Marcellus | Transco-165 | Transco-Z5 North | Transco-Z6 (NY) | Eastern Gas-South | TETCO-M2 (receipt) | Rover (receipt),0.9760552346129314,0.934911798733689,0.9939824885953725,0.05071923198226252,0.9760552346129314,-1.1871508986397128,,,Global_G01 | Global_G01_S02,5,0,4,TGP-Mahwah | Transco-Z6 (non-NY north) | Transco-Z6 (non-NY south) | Transco-Z6 Sta-210,0.9924790881617017,0.9887141267692615,0.9939824885953725,0.027807865950122634,0.9924790881617017,,,,OwnHistoryOnly,,0,,,,,,,,,,False,False,0.0,-1.2740839999999998,-0.26591600000000026,-1.5261259999999996,-0.013874000000000386,-1.7781679999999995,0.2381679999999995,,,,,,,,,,0.0,No forward mark,No forward mark,,,False,,-1
TGP-Mahwah,Global_G01,1,regular,Global_G01_S02,2,supergroup,Northeast,Northeast - Demand,3,Global_G01,Global_G01_S02,TGP-Mahwah,GLOBAL,Autumn,,,,,TETCO-M3,TGP-Mahwah,63,-0.8408666666666665,0.2537302097796766,0.11487946691911158,-0.8174999999999999,0.25560024000000015,-1.2592999999999999,-0.24429999999999996,2026-09-03,-1.0346,,,0.25560024000000015,-0.8174999999999999,,,,,False,balmo_transition,September 4-30,September 3,September,September,-1.0346,,,,,,,,,,8,,,,,,,Global_G01,21,3,19,Eastern Gas-North | Leidy-Transco | Millennium-Ramapo | TCO | TGP-Z4 Sta-219 | TGP-Z4 Sta-313 | TETCO-M3 | Transco-Z6 (non-NY north) | Transco-Z6 (non-NY south) | Transco-Z6 Sta-210 | Millennium East Pool | TGP-Z4 300L | TGP-Z4 Marcellus | Transco-165 | Transco-Z5 North | Transco-Z6 (NY) | Eastern Gas-South | TETCO-M2 (receipt) | Rover (receipt),0.9723155963721022,0.9427439217785358,0.994682907512726,0.05357873377497824,0.9723155963721022,-1.2461744953493907,,,Global_G01 | Global_G01_S02,5,0,4,TETCO-M3 | Transco-Z6 (non-NY north) | Transco-Z6 (non-NY south) | Transco-Z6 Sta-210,0.9812528183037406,0.9784783140299159,0.9887141267692617,0.03565512988108323,0.9812528183037406,,,,OwnHistoryOnly,,0,,,,,,,,,,False,False,0.0,-1.3287004800000002,-0.3062995199999996,-1.5843007200000003,-0.05069927999999946,-1.8399009600000005,0.2049009600000007,,,,,,,,,,0.0,No forward mark,No forward mark,,,False,,-1
Transco-Z6 (non-NY north),Global_G01,1,regular,Global_G01_S02,2,supergroup,Northeast,Northeast - Demand,3,Global_G01,Global_G01_S02,Transco-Z6 (non-NY north),GLOBAL,Autumn,TRANSCO-Z6 (NON-NY NORTH),Transco Zone 6 Non-NY North FDt Com,,"Transco, zone 6 non-N.Y. North",,Transco-Z6 (non-NY north),62,-0.8046774193548388,0.2478015979382943,0.11754257454472014,-0.83,0.28910699999999956,-1.28,-0.22999999999999998,2026-09-02,-0.9849999999999999,,,0.28910699999999956,-0.83,,,,,False,balmo_transition,September 4-30,September 3,September,September,-0.9849999999999999,,,,,,,,,,11,,,,,,,Global_G01,21,3,19,Eastern Gas-North | Leidy-Transco | Millennium-Ramapo | TCO | TGP-Z4 Sta-219 | TGP-Z4 Sta-313 | TETCO-M3 | TGP-Mahwah | Transco-Z6 (non-NY south) | Transco-Z6 Sta-210 | Millennium East Pool | TGP-Z4 300L | TGP-Z4 Marcellus | Transco-165 | Transco-Z5 North | Transco-Z6 (NY) | Eastern Gas-South | TETCO-M2 (receipt) | Rover (receipt),0.9734150258666073,0.9246694162488889,0.999990480504554,0.04726915738272258,0.9734150258666073,-1.2212283971098716,,,Global_G01 | Global_G01_S02,5,0,4,TETCO-M3 | TGP-Mahwah | Transco-Z6 (non-NY south) | Transco-Z6 Sta-210,0.9931376113144663,0.9788053830208803,0.999990480504554,0.01877773949642409,0.9931376113144663,,,,OwnHistoryOnly,,0,,,,,,,,,,False,False,0.0,-1.4082139999999992,-0.25178600000000084,-1.6973209999999987,0.037320999999998716,-1.9864279999999983,0.3264279999999983,,,,,,,,,,0.0,No forward mark,No forward mark,,,False,,-1
Transco-Z6 (non-NY south),Global_G01,1,regular,Global_G01_S02,2,supergroup,Northeast,Northeast - Demand,3,Global_G01,Global_G01_S02,Transco-Z6 (non-NY south),GLOBAL,Autumn,TRANSCO-Z6 (NON-NY NORTH),Transco Zn6 non-N.Y. FDt Com,ICE Transco zone 6 non-NY South FDt Com,,Transco-Z6 (non-NY north),Transco-Z6 (non-NY south),62,-0.8044354838709677,0.24776890481992217,0.11740779430657244,-0.8275,0.28540049999999967,-1.28,-0.22999999999999998,2026-09-02,-0.9849999999999999,,,0.28540049999999967,-0.8275,,,,,False,balmo_transition,September 4-30,September 3,September,September,-0.9849999999999999,,,,,,,,,,26,,,,,,,Global_G01,21,3,19,Eastern Gas-North | Leidy-Transco | Millennium-Ramapo | TCO | TGP-Z4 Sta-219 | TGP-Z4 Sta-313 | TETCO-M3 | TGP-Mahwah | Transco-Z6 (non-NY north) | Transco-Z6 Sta-210 | Millennium East Pool | TGP-Z4 300L | TGP-Z4 Marcellus | Transco-165 | Transco-Z5 North | Transco-Z6 (NY) | Eastern Gas-South | TETCO-M2 (receipt) | Rover (receipt),0.9735910914501269,0.924800001461211,0.999990480504554,0.047284576940763365,0.9735910914501269,-1.221228511753198,,,Global_G01 | Global_G01_S02,5,0,4,TETCO-M3 | TGP-Mahwah | Transco-Z6 (non-NY north) | Transco-Z6 Sta-210,0.9932179400954795,0.9790134493949046,0.999990480504554,0.018835322647927092,0.9932179400954795,,,,OwnHistoryOnly,,0,,,,,,,,,,False,False,0.0,-1.3983009999999994,-0.2566990000000007,-1.6837014999999989,0.028701499999998936,-1.9691019999999986,0.31410199999999866,,,,,,,,,,0.0,No forward mark,No forward mark,,,False,,-1
