Component,Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,REGION,PriceRegionLabel,Tree_Depth,Tree_Level_1,Tree_Level_2,Tree_Level_3,Scope,Season,Fin Basis Name,Platts Market,Platt Market w/ ICE in the name,Platts Forward Settle,GasDaily,ICE Market,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis,Final Mark,Group_Outlier_Flag,Plot_Flag_Label,Plot_Flag_Short,Plot_Annotate,Plot_Label_Text,Chosen_Group_Level,Chosen_Group_Reliability,Overall_Combined_Score,Outlier_Reasons,History_Window_Start,History_Window_End,Has_Forward_Final_Mark
Eastern Gas-North,Global_G01,1,regular,Global_G01_S01,1,regular,Northeast,Northeast - Appalachia,3,Global_G01,Global_G01_S01,Eastern Gas-North,GLOBAL,Autumn,,Eastern Gas North FDt Com,,,,Eastern Gas-North,63,-0.905726984126984,0.21999062825078966,0.09916434958416531,-0.9099999999999999,0.2520419999999999,-1.36,-0.41500000000000004,2026-09-03,-1.1258,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
Leidy-Transco,Global_G01,1,regular,Global_G01_S01,1,regular,Northeast,Northeast - Appalachia,3,Global_G01,Global_G01_S01,Leidy-Transco,GLOBAL,Autumn,LEIDY-TRANSCO,Transco Leidy Line receipts FDt Com,,"Transco, Leidy Line receipts",,Leidy-Transco,63,-0.841722222222222,0.24123440577675884,0.11365111155921978,-0.8699999999999999,0.2446289999999997,-1.3,-0.2749999999999999,2026-09-03,-1.0334999999999999,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
Millennium-Ramapo,Global_G01,1,regular,Global_G01_S01,1,regular,Northeast,Northeast - Demand,3,Global_G01,Global_G01_S01,Millennium-Ramapo,GLOBAL,Autumn,,,,,TETCO-M3,Millennium-Ramapo,63,-0.8328698412698411,0.2400234199829195,0.11220593570250492,-0.8224,0.2428498799999999,-1.2561,-0.25039999999999996,2026-09-03,-1.0408,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
TCO,Global_G01,1,regular,Global_G01_S01,1,regular,Northeast,Northeast - Appalachia,3,Global_G01,Global_G01_S01,TCO,GLOBAL,Autumn,TCO,Col Gas Appal FDt Com,,"Columbia Gas, App.",,TCO,63,-0.7669555555555556,0.22574083468536307,0.07793230977878414,-0.76,0.2446289999999997,-1.2249999999999999,-0.31000000000000005,2026-09-03,-1.0781999999999998,-1.1794999999999998,In-family,,,False,,Parent,0.9411708345307456,1.7150004301451722,history=Lower than own-history expected value; peers=Higher than peer-implied value; parent peers=19; peer model trusted; history/peer direction disagree; pattern=in-line transition; historical check type=balmo_transition; historical window=September 4-30; actual point=September 3; current month name=September; mark month name=September; mark history mean=-0.74; mark history delta=-0.44; current transition=-0.10; transition mean=-0.10; transition delta=+0.00; transition magnitude delta=-0.00; component current-month sd=0.02; component historical month sd=0.48; transition degree scale source=current-month; actual-to-date z=-1.23; mark z=-1.01; transition z=0.02; pattern years=26,2026-07-03,2026-09-03,True
TGP-Z4 Sta-219,Global_G01,1,regular,Global_G01_S01,1,regular,Northeast,Northeast - Appalachia,3,Global_G01,Global_G01_S01,TGP-Z4 Sta-219,GLOBAL,Autumn,,Tennessee Gas Pipeline Zone 4-200 leg FDt Com,ICE Tennessee zone 4 station 219 Pool FDt Com,,,TGP-Z4 Sta-219,63,-0.7533428571428571,0.2513639680303506,0.10843696729067218,-0.675,0.28169399999999956,-1.185,-0.27,2026-09-03,-1.0856,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
TGP-Z4 Sta-313,Global_G01,1,regular,Global_G01_S01,1,regular,Northeast,Northeast - Appalachia,3,Global_G01,Global_G01_S01,TGP-Z4 Sta-313,GLOBAL,Autumn,,Tennessee Zone 4-313 Pool FDt Com,,"Tennessee, zone 4-313 Pool",,TGP-Z4 Sta-313,63,-0.8056952380952379,0.23277255923282106,0.09024768175052031,-0.77,0.23721599999999954,-1.23,-0.3650000000000002,2026-09-03,-1.0937999999999999,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
TETCO-M3,Global_G01,1,regular,Global_G01_S02,2,supergroup,Northeast,Northeast - Demand,3,Global_G01,Global_G01_S02,TETCO-M3,GLOBAL,Autumn,TETCO-M3,TX Eastern M-3 FDt Com,,"Texas Eastern, M-3",,TETCO-M3,63,-0.7735285714285716,0.2420645704502852,0.10769216058568472,-0.77,0.2520419999999999,-1.2049999999999998,-0.19499999999999984,2026-09-03,-0.9972999999999999,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
TGP-Mahwah,Global_G01,1,regular,Global_G01_S02,2,supergroup,Northeast,Northeast - Demand,3,Global_G01,Global_G01_S02,TGP-Mahwah,GLOBAL,Autumn,,,,,TETCO-M3,TGP-Mahwah,63,-0.8408666666666665,0.2537302097796766,0.11487946691911158,-0.8174999999999999,0.25560024000000015,-1.2592999999999999,-0.24429999999999996,2026-09-03,-1.0346,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
Transco-Z6 (non-NY north),Global_G01,1,regular,Global_G01_S02,2,supergroup,Northeast,Northeast - Demand,3,Global_G01,Global_G01_S02,Transco-Z6 (non-NY north),GLOBAL,Autumn,TRANSCO-Z6 (NON-NY NORTH),Transco Zone 6 Non-NY North FDt Com,,"Transco, zone 6 non-N.Y. North",,Transco-Z6 (non-NY north),62,-0.8046774193548388,0.2478015979382943,0.11754257454472014,-0.83,0.28910699999999956,-1.28,-0.22999999999999998,2026-09-02,-0.9849999999999999,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
Transco-Z6 (non-NY south),Global_G01,1,regular,Global_G01_S02,2,supergroup,Northeast,Northeast - Demand,3,Global_G01,Global_G01_S02,Transco-Z6 (non-NY south),GLOBAL,Autumn,TRANSCO-Z6 (NON-NY NORTH),Transco Zn6 non-N.Y. FDt Com,ICE Transco zone 6 non-NY South FDt Com,,Transco-Z6 (non-NY north),Transco-Z6 (non-NY south),62,-0.8044354838709677,0.24776890481992217,0.11740779430657244,-0.8275,0.28540049999999967,-1.28,-0.22999999999999998,2026-09-02,-0.9849999999999999,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
Transco-Z6 Sta-210,Global_G01,1,regular,Global_G01_S02,2,supergroup,Northeast,Northeast - Demand,3,Global_G01,Global_G01_S02,Transco-Z6 Sta-210,GLOBAL,Autumn,,,ICE Transco zone 6 station 210 Pool FDt Com,,Transco-Z6 (non-NY north),Transco-Z6 Sta-210,63,-0.8062952380952381,0.24952378025439256,0.11834273371420327,-0.8392,0.28792091999999986,-1.2819,-0.2153999999999998,2026-09-03,-0.9986999999999999,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
Millennium East Pool,Global_G01,1,regular,Global_G01_S03,3,supergroup,Northeast,Northeast - Appalachia,3,Global_G01,Global_G01_S03,Millennium East Pool,GLOBAL,Autumn,MILLENNIUM EAST POOL,Millennium East receipts FDt Com,,"Millennium, East receipts",,Millennium East Pool,63,-0.8742190476190476,0.23383052234411889,0.10734980042356071,-0.8899999999999999,0.214977,-1.325,-0.3700000000000001,2026-09-03,-1.0908,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
TGP-Z4 300L,Global_G01,1,regular,Global_G01_S03,3,supergroup,Northeast,Northeast - Appalachia,3,Global_G01,Global_G01_S03,TGP-Z4 300L,GLOBAL,Autumn,,Tennessee zone 4-300 leg FDt Com,,"Tennessee, zone 4-300 leg",,,62,-0.9372580645161289,0.255861895092112,0.10741224655681728,-0.9175000000000001,0.25574849999999966,-1.36,-0.3799999999999999,2026-09-02,-1.1849999999999998,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
TGP-Z4 Marcellus,Global_G01,1,regular,Global_G01_S03,3,supergroup,Northeast,Northeast - Appalachia,3,Global_G01,Global_G01_S03,TGP-Z4 Marcellus,GLOBAL,Autumn,,Tennessee zone 4-300 leg FDt Com,,"Tennessee, zone 4-300 leg",,TGP-Z4 Marcellus,63,-0.9431873015873015,0.2581167099689243,0.10762129167594549,-0.925,0.2594549999999997,-1.36,-0.3799999999999999,2026-09-03,-1.3108,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
Transco-165,Global_G01,1,regular,Global_G01_S04,4,regular,Northeast,Northeast - Demand,3,Global_G01,Global_G01_S04,Transco-165,GLOBAL,Autumn,,Transco Station 165 FDt Com,,"Transco, station 165",,Transco-165,63,-0.7839476190476191,0.2526313748662668,0.11370393179786249,-0.7949999999999999,0.2520419999999999,-1.295,-0.2250000000000001,2026-09-03,-0.9586999999999999,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
Transco-Z5 North,Global_G01,1,regular,Global_G01_S04,4,regular,Northeast,Northeast - Demand,3,Global_G01,Global_G01_S04,Transco-Z5 North,GLOBAL,Autumn,,Transco Zone 5 North FDt Com,,,,Transco-Z5 North,63,-0.7081079365079366,0.24991453719969522,0.12215851727221892,-0.6950000000000001,0.2446289999999997,-1.2049999999999998,-0.0950000000000002,2026-09-03,-0.9458,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
Transco-Z6 (NY),Global_G01,1,regular,Global_G01_S04,4,regular,Northeast,Northeast - Demand,3,Global_G01,Global_G01_S04,Transco-Z6 (NY),GLOBAL,Autumn,TRANSCO-Z6 (NY),Transco Zn6 NY FDt Com,,"Transco, zone 6 N.Y.",,Transco-Z6 (NY),63,-0.7231269841269842,0.26110629970183336,0.13647647658876436,-0.7349999999999999,0.2668679999999999,-1.185,-0.03500000000000014,2026-09-03,-0.9169999999999998,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-07-03,2026-09-03,False
