Component,Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,REGION,PriceRegionLabel,Tree_Depth,Tree_Level_1,Tree_Level_2,Tree_Level_3,Scope,Season,Fin Basis Name,Platts Market,Platt Market w/ ICE in the name,Platts Forward Settle,GasDaily,ICE Market,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis,Final Mark,Group_Outlier_Flag,Plot_Flag_Label,Plot_Flag_Short,Plot_Annotate,Plot_Label_Text,Chosen_Group_Level,Chosen_Group_Reliability,Overall_Combined_Score,Outlier_Reasons,History_Window_Start,History_Window_End,Has_Forward_Final_Mark
NNG-Demarc,Global_G01,1,regular,Global_G01_S01,1,regular,Midwest,Midwest - Chicago,3,Global_G01,Global_G01_S01,NNG-Demarc,GLOBAL,Summer,NNG-DEMARC,Northern Demarc FDt Com,,"Northern, demarc",,NNG-Demarc,62,-0.40487419354838716,0.208737809449082,0.09097592067177171,-0.35749999999999993,0.2631615,-0.7999999999999998,-0.09499999999999975,2026-08-11,-0.14719999999999978,-0.0040000000000000036,Watch,Watch,W,True,NNG-Demarc [Watch],Subgroup,0.8818858580749412,2.59314133020872,history=Higher than own-history expected value; peers=moderately above peer-implied value; subgroup peers=11; peer model trusted; peer score v2=2.22 (strong-support); history/peer direction agree; pattern=opposite transition; historical check type=balmo_transition; historical window=August 12-31; actual point=August 11; current month name=August; mark month name=August; mark history mean=-0.29; mark history delta=+0.29; current transition=+0.14; transition mean=-0.07; transition delta=+0.21; transition magnitude delta=+0.07; component current-month sd=0.09; component historical month sd=0.27; transition degree scale source=current-month; actual-to-date z=0.66; mark z=1.62; transition z=1.44; pattern years=26,2026-06-11,2026-08-11,True
Trunkline-Z1A,Global_G01,1,regular,Global_G01_S01,1,regular,South Central,SouthCentral - Perryville,3,Global_G01,Global_G01_S01,Trunkline-Z1A,GLOBAL,Summer,TRUNKLINE-Z1A,Trunkline Zn 1A FDt Com,,"Trunkline, zone 1A",,Trunkline-Z1A,62,-0.37248709677419356,0.13170733388080738,0.07450747276124565,-0.395,0.13343399999999978,-0.665,-0.16000000000000014,2026-08-11,-0.20419999999999972,-0.25,Outlier,Outlier,O,True,Trunkline-Z1A [Outlier],Subgroup,0.9398478941948792,2.969347073687854,history=Higher than own-history expected value; peers=moderately below peer-implied value; subgroup peers=11; peer model trusted; peer score v2=2.76 (high); history/peer direction disagree; pattern=slight weaker than history; historical check type=balmo_transition; historical window=August 12-31; actual point=August 11; current month name=August; mark month name=August; mark history mean=-0.27; mark history delta=+0.02; current transition=-0.05; transition mean=-0.07; transition delta=+0.03; transition magnitude delta=-0.03; transition degree=slight; transition degree score=0.34; component current-month sd=0.08; component historical month sd=0.15; transition degree scale source=current-month; actual-to-date z=-0.10; mark z=0.13; transition z=0.22; pattern years=18,2026-06-11,2026-08-11,True
Chicago,Global_G01,1,regular,Global_G01_S02,2,supergroup,Midwest,Midwest - Chicago,3,Global_G01,Global_G01_S02,Chicago,GLOBAL,Summer,Chicago,Chicago CG FDt Com,,Chicago city-gates,,,61,-0.3518032786885247,0.1737719597319171,0.07568048170257945,-0.355,0.2223900000000005,-0.6999999999999997,-0.050000000000000266,2026-08-10,-0.050000000000000266,-0.01200000000000001,Watch,Watch,W,True,Chicago [Watch],Parent,0.9543900776585906,2.096575991108797,history=Higher than own-history expected value; peers=slightly above peer-implied value; parent peers=31; peer model trusted; peer score v2=1.42 watch; history/peer direction agree; pattern=opposite transition; historical check type=balmo_transition; historical window=August 12-31; actual point=August 11; current month name=August; mark month name=August; mark history mean=-0.22; mark history delta=+0.21; current transition=+0.04; transition mean=-0.06; transition delta=+0.10; transition magnitude delta=-0.02; component current-month sd=0.11; component historical month sd=0.17; transition degree scale source=current-month; actual-to-date z=1.20; mark z=1.35; transition z=0.69; pattern years=26,2026-06-11,2026-08-11,True
NNG-Ventura,Global_G01,1,regular,Global_G01_S07,7,supergroup,Midwest,Midwest - Chicago,3,Global_G01,Global_G01_S07,NNG-Ventura,GLOBAL,Summer,NNG-VENTURA,Nrthrn Ventura FDt Com,,"Northern, Ventura",,NNG-Ventura,62,-0.3932903225806451,0.19344820860635792,0.0840659869622336,-0.3799999999999999,0.25204200000000054,-0.7850000000000001,-0.10000000000000009,2026-08-11,-0.1389999999999998,-0.002000000000000224,Watch,Watch,W,True,NNG-Ventura [Watch],Parent,0.9071383350855972,2.4416482328667013,history=Higher than own-history expected value; peers=slightly above peer-implied value; parent peers=31; peer model trusted; peer score v2=1.93; history/peer direction agree; pattern=opposite transition; historical check type=balmo_transition; historical window=August 12-31; actual point=August 11; current month name=August; mark month name=August; mark history mean=-0.30; mark history delta=+0.30; current transition=+0.14; transition mean=-0.06; transition delta=+0.19; transition magnitude delta=+0.08; component current-month sd=0.10; component historical month sd=0.24; transition degree scale source=current-month; actual-to-date z=0.85; mark z=1.76; transition z=1.31; pattern years=26,2026-06-11,2026-08-11,True
Consumers,Global_G01,1,regular,Global_G01_S08,8,supergroup,Midwest,Midwest - Demand,3,Global_G01,Global_G01_S08,Consumers,GLOBAL,Summer,,Cons Energy CG FDt Com,,Consumers city-gate,,Consumers,62,-0.33247096774193535,0.16692855484307922,0.08137743205635962,-0.32499999999999996,0.1927379999999995,-0.71,-0.06000000000000005,2026-08-11,-0.11319999999999997,-0.18999999999999995,Outlier,Outlier,O,True,Consumers [Outlier],Parent,0.9426990990050222,4.828723086913765,history=Higher than own-history expected value; peers=very far below peer-implied value; parent peers=30; peer model trusted; peer score v2=4.78 (high); history/peer direction disagree; pattern=in-line transition; historical check type=balmo_transition; historical window=August 12-31; actual point=August 11; current month name=August; mark month name=August; mark history mean=-0.22; mark history delta=+0.03; current transition=-0.08; transition mean=-0.06; transition delta=-0.01; transition magnitude delta=+0.01; component current-month sd=0.10; component historical month sd=0.19; transition degree scale source=current-month; actual-to-date z=0.33; mark z=0.15; transition z=-0.10; pattern years=26,2026-06-11,2026-08-11,True
CG-Mainline,Global_G01,1,regular,Global_G01_S09,9,supergroup,South Central,SouthCentral - Perryville,3,Global_G01,Global_G01_S09,CG-Mainline,GLOBAL,Summer,CG-MAINLINE,Col Gulf Mnline FDt Com,,"Columbia Gulf, mainline",,CG-Mainline,62,-0.39291774193548396,0.10581223630655671,0.07310536710429372,-0.4049999999999998,0.06671699999999957,-0.6400000000000001,-0.20000000000000018,2026-08-11,-0.30589999999999984,-0.1485000000000003,Outlier,Outlier,O,True,CG-Mainline [Outlier],Parent,0.8979613305169588,3.848950604353525,history=moderately above own-history expected value; own z=3.84; peers=Higher than peer-implied value; parent peers=31; peer model trusted; history/peer direction agree; pattern=opposite transition; historical check type=balmo_transition; historical window=August 12-31; actual point=August 11; current month name=August; mark month name=August; mark history mean=-0.27; mark history delta=+0.12; current transition=+0.16; transition mean=-0.07; transition delta=+0.23; transition magnitude delta=+0.08; component current-month sd=0.07; component historical month sd=0.16; transition degree scale source=current-month; actual-to-date z=-1.14; mark z=0.60; transition z=1.62; pattern years=26,2026-06-11,2026-08-11,True
TGP-Z4 300L,Global_G03,3,regular,Global_G03_S02,2,supergroup,Northeast,Northeast - Appalachia,3,Global_G03,Global_G03_S02,TGP-Z4 300L,GLOBAL,Summer,,Tennessee zone 4-300 leg FDt Com,,"Tennessee, zone 4-300 leg",,,61,-0.8154098360655736,0.17081494636488728,0.1255967675642923,-0.8199999999999998,0.13343399999999978,-1.0899999999999999,-0.3799999999999999,2026-08-10,-0.5250000000000004,-0.7290000000000001,Watch,Watch,W,True,TGP-Z4 300L [Watch],Parent,0.9275894468292748,1.716198305818566,history=Higher than own-history expected value; peers=slightly below peer-implied value; parent peers=9; peer model trusted; peer score v2=1.57; history/peer direction disagree; pattern=slight stronger than history; historical check type=balmo_transition; historical window=August 12-31; actual point=August 11; current month name=August; mark month name=August; mark history mean=-0.97; mark history delta=+0.24; current transition=-0.20; transition mean=-0.14; transition delta=-0.07; transition magnitude delta=+0.07; transition degree=slight; transition degree score=0.31; component current-month sd=0.21; component historical month sd=0.75; transition degree scale source=current-month; actual-to-date z=0.62; mark z=0.56; transition z=-0.24; pattern years=18,2026-06-11,2026-08-11,True
TETCO-M2 (receipt),Global_G03,3,regular,Global_G03_S03,3,supergroup,Northeast,Northeast - Appalachia,3,Global_G03,Global_G03_S03,TETCO-M2 (receipt),GLOBAL,Summer,TETCO-M2 (RECEIPT),Texas Eastern zone M-2 receipts FDt Com,,"Texas Eastern, M-2 receipts",,TETCO-M2 (receipt),62,-0.7576500000000002,0.16364481204180198,0.11465579564683955,-0.77,0.1408469999999996,-1.0699999999999998,-0.31000000000000005,2026-08-11,-0.5992999999999999,-0.5050000000000003,Outlier,Outlier,O,True,TETCO-M2 (receipt) [Outlier],Parent,0.9402730646402006,3.58000138115189,history=Higher than own-history expected value; peers=moderately above peer-implied value; parent peers=10; peer model trusted; peer score v2=3.05 (high); history/peer direction agree; pattern=opposite transition; historical check type=balmo_transition; historical window=August 12-31; actual point=August 11; current month name=August; mark month name=August; mark history mean=-0.93; mark history delta=+0.42; current transition=+0.09; transition mean=-0.15; transition delta=+0.24; transition magnitude delta=-0.05; component current-month sd=0.14; component historical month sd=0.53; transition degree scale source=current-month; actual-to-date z=0.38; mark z=1.05; transition z=0.97; pattern years=13,2026-06-11,2026-08-11,True
NGPL-Midcont Pool,Global_G06,6,regular,Global_G06_S01,1,regular,South Central,SouthCentral - Midcon,3,Global_G06,Global_G06_S01,NGPL-Midcont Pool,GLOBAL,Summer,NGPL-MIDCONT POOL,NGPL Midcont FDt Com,,"NGPL, Midcontinent",,NGPL-Midcont Pool,62,-0.44364516129032255,0.17186308854931956,0.0860933062267281,-0.4200000000000004,0.19273799999999983,-0.79,-0.17000000000000037,2026-08-11,-0.31599999999999984,-0.30000000000000027,Watch,Watch,W,True,NGPL-Midcont Pool [Watch],Subgroup,0.9769519965764996,1.643976528627465,history=Higher than own-history expected value; peers=slightly below peer-implied value; subgroup peers=4; peer model trusted; peer score v2=1.52; history/peer direction disagree; pattern=mild weaker than history; historical check type=balmo_transition; historical window=August 12-31; actual point=August 11; current month name=August; mark month name=August; mark history mean=-0.41; mark history delta=+0.11; current transition=+0.02; transition mean=-0.09; transition delta=+0.11; transition magnitude delta=-0.08; transition degree=mild; transition degree score=0.83; component current-month sd=0.09; component historical month sd=0.34; transition degree scale source=current-month; actual-to-date z=0.02; mark z=0.48; transition z=0.51; pattern years=26,2026-06-11,2026-08-11,True
Panhandle,Global_G06,6,regular,Global_G06_S01,1,regular,South Central,SouthCentral - Midcon,3,Global_G06,Global_G06_S01,Panhandle,GLOBAL,Summer,PANHANDLE,Panhandle TX-OK FDt Com,,"Panhandle, Tx.-Okla",,Panhandle,62,-0.4942629032258065,0.18263085605908902,0.08815139795685961,-0.4800000000000002,0.21868350000000025,-0.8249999999999997,-0.18999999999999995,2026-08-11,-0.3843000000000001,-0.20400000000000018,Outlier,Outlier,O,True,Panhandle [Outlier],Subgroup,0.980564830894186,3.619239745818555,history=Higher than own-history expected value; peers=moderately above peer-implied value; subgroup peers=4; peer model trusted; peer score v2=3.39 (high); history/peer direction agree; pattern=opposite transition; historical check type=balmo_transition; historical window=August 12-31; actual point=August 11; current month name=August; mark month name=August; mark history mean=-0.44; mark history delta=+0.24; current transition=+0.18; transition mean=-0.07; transition delta=+0.25; transition magnitude delta=+0.11; component current-month sd=0.09; component historical month sd=0.33; transition degree scale source=current-month; actual-to-date z=-0.07; mark z=1.08; transition z=1.25; pattern years=26,2026-06-11,2026-08-11,True
