Component,Parent_Group_Label,Subgroup_Label,Final Mark,Own_History_Expected_Value,Own_History_Delta,Own_History_Direction,Hist_Median,Hist_Effective_Scale,Hist_Robust_SD,Forward_Robust_Z,Forward_Abs_Z,Own_History_Range_Watch_Low,Own_History_Range_Watch_High,Own_History_Range_Outlier_Low,Own_History_Range_Outlier_High,Own_History_Range_Strong_Low,Own_History_Range_Strong_High,Chosen_Group_Level,Chosen_Group_Selected_Peer_Count,Chosen_Group_Reliability,Chosen_Group_Peer_Trusted,Chosen_Group_Direction_Agree,Chosen_Group_Peer_Implied_Final_Mark,Chosen_Group_Peer_Residual,Chosen_Group_Peer_Residual_Z,Chosen_Group_Peer_Signal,Chosen_Group_Peer_Score_v2,Chosen_Group_Peer_Direction,Chosen_Group_Mean_Pair_Scale,Chosen_Group_Peer_Range_Watch_Low,Chosen_Group_Peer_Range_Watch_High,Chosen_Group_Peer_Range_Outlier_Low,Chosen_Group_Peer_Range_Outlier_High,Chosen_Group_Peer_Range_Strong_Low,Chosen_Group_Peer_Range_Strong_High,Overall_Combined_Score,Group_Outlier_Flag,HistCal_Check_Type,HistCal_Window_Label,HistCal_Actual_Label,HistCal_CurrentMTD_Z,HistCal_Mark_Mean,HistCal_Mark_Delta,HistCal_Mark_Z,HistCal_Transition,HistCal_Transition_Mean,HistCal_Transition_Delta,HistCal_Transition_Magnitude_Delta,HistCal_Transition_Degree,HistCal_Transition_Degree_Score,HistCal_Component_CurrentMonth_SD,HistCal_Component_HistoricalMonth_SD,HistCal_Transition_Degree_Scale_Source,HistCal_Transition_Z,HistCal_Sample_Years,HistCal_Pattern,Rule_Hits,Outlier_Reasons
Moss Bluff Inter,Global_G01,Global_G01_S01,0.4475,-0.2621000000000002,0.7096000000000002,Higher than own-history expected value,-0.2621000000000002,0.07398173999999942,0.07398173999999942,9.591555970432783,9.591555970432783,-0.41006347999999904,-0.11413652000000138,-0.4840452199999985,-0.040154780000001944,-0.5580269599999979,0.033826959999997464,Subgroup,13,0.7566246633198112,True,True,-0.24340704085306855,0.6909070408530685,8.684923624748217,6.571227413533394,7.554509130803225,Higher than peer-implied value,0.08663181781613254,-0.36790068898077555,-0.11891339272536157,-0.4923943371084825,0.005580255402345413,-0.44259687785739976,-0.04421720384873737,12.20936337985458,Strong outlier,forward_transition,,,-0.9624083781964206,,,3.5466109929623237,0.6300000000000001,0.04211430186948632,0.5878856981305138,0.5878856981305138,very strong,6.700004377336319,0.08774407672316119,0.10348586202650514,current-month,8.854277258706585,12,very stronger than history,|Forward_Robust_Z| >= 4.0; Trusted peer score >= 2.0 with direction agreement and |Forward_Robust_Z| >= 2.5,Strong: own-history |z| alone clears the strong tier (≥4); history=very far above own-history expected value; own z=9.59 (very high); peers=very far above peer-implied value; subgroup peers=13; peer model trusted; peer score v2=7.55 (high); history/peer direction agree; pattern=very stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=+0.63; transition mean=+0.04; transition delta=+0.59; transition magnitude delta=+0.59; transition degree=very strong; transition degree score=6.70; component current-month sd=0.09; component historical month sd=0.10; transition degree scale source=current-month; actual-to-date z=-0.96; mark z=3.55; transition z=8.85; pattern years=12
Transco-Z5 North,Global_G15,Global_G15_S01,0.3775,-0.5800000000000001,0.9575,Higher than own-history expected value,-0.5800000000000001,0.17049899999999965,0.17049899999999965,5.615868714772533,5.615868714772533,-0.9209979999999993,-0.23900200000000077,-1.091496999999999,-0.06850300000000109,-1.2619959999999986,0.10199599999999853,OwnHistoryOnly,0,,False,False,,,,,0.0,,,,,,,,,5.615868714772533,Strong outlier,forward_transition,,,-0.9288887427624765,,,1.1742249030486318,1.03,-0.4004890765772203,1.4304890765772202,0.6295109234227797,,,0.10698318403686939,0.5685386069045651,current-month,2.739768660765277,10,opposite transition,|Forward_Robust_Z| >= 4.0,Strong: own-history |z| alone clears the strong tier (≥4); history=very far above own-history expected value; own z=5.62 (very high); pattern=opposite transition; historical check type=forward_transition; current month name=August; mark month name=September; current transition=+1.03; transition mean=-0.40; transition delta=+1.43; transition magnitude delta=+0.63; component current-month sd=0.11; component historical month sd=0.57; transition degree scale source=current-month; actual-to-date z=-0.93; mark z=1.17; transition z=2.74; pattern years=10
ONEOK Westex,Global_G07,Global_G07_S02,-0.8197,-0.48999999999999977,-0.3297000000000002,Lower than own-history expected value,-0.48999999999999977,0.20756399999999953,0.20756399999999953,-1.5884257385673863,1.5884257385673863,-0.9051279999999988,-0.07487200000000072,-1.1126919999999982,0.1326919999999988,-1.3202559999999979,0.34025599999999834,Parent,6,0.9391985818445442,True,True,-0.4354246619610817,-0.3842753380389182,-26.18680503764995,24.5946101544004,25.37822415162828,Lower than peer-implied value,0.05721035196179883,-0.5092160905894141,-0.36163323333274927,-0.5830075192177465,-0.2878418047044169,-0.5534909477664136,-0.3173583761557498,25.42788542952859,Outlier,forward_transition,,,0.06896285198446968,,,-0.8165500715369601,-0.4141499999999999,-0.08062703651212698,-0.3335229634878729,0.3335229634878729,very strong,4.736948758318717,0.07040881810303772,0.3495838446913499,current-month,-1.3057356359943184,26,very stronger than history,Trusted peer score >= 2.5; Trusted peer score >= 1.5 with direction agreement and |Forward_Robust_Z| >= 1.5,history=Lower than own-history expected value; peers=very far below peer-implied value; parent peers=6; peer model trusted; peer score v2=25.38 (high); history/peer direction agree; pattern=very stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.41; transition mean=-0.08; transition delta=-0.33; transition magnitude delta=+0.33; transition degree=very strong; transition degree score=4.74; component current-month sd=0.07; component historical month sd=0.35; transition degree scale source=current-month; actual-to-date z=0.07; mark z=-0.82; transition z=-1.31; pattern years=26
OGT,Global_G07,Global_G07_S02,-0.4075,-0.4916499999999999,0.08414999999999995,Higher than own-history expected value,-0.4916499999999999,0.21979544999999998,0.21979544999999998,0.38285596903848534,0.38285596903848534,-0.9312408999999999,-0.05205909999999997,-1.1510363499999998,0.16773634999999998,-1.3708318,0.3875318,Parent,6,0.9440592237213221,True,True,-0.4999120776842214,0.09241207768422142,21.36455234789254,20.169402704704982,20.758378065503937,Higher than peer-implied value,0.05687036104899487,-0.5730758986870464,-0.4267482566813964,-0.6462397196898715,-0.35358443567857134,-0.6169741912887415,-0.38284996407970134,20.76190835649323,Outlier,forward_transition,,,0.584994400691023,,,0.21073228607299938,-0.11519999999999997,-0.048494684807438584,-0.06670531519256138,0.06670531519256138,mild,0.5531074711215271,0.12060100193060869,0.30050606083688475,current-month,-0.3608377580785689,12,mild stronger than history,Trusted peer score >= 2.5,history=Higher than own-history expected value; peers=very far above peer-implied value; parent peers=6; peer model trusted; peer score v2=20.76 (high); history/peer direction agree; pattern=mild stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.12; transition mean=-0.05; transition delta=-0.07; transition magnitude delta=+0.07; transition degree=mild; transition degree score=0.55; component current-month sd=0.12; component historical month sd=0.30; transition degree scale source=current-month; actual-to-date z=0.58; mark z=0.21; transition z=-0.36; pattern years=12
KRGT-Del Pool,Global_G02,Global_G02_S06,0.1,-0.885,0.985,Higher than own-history expected value,-0.885,1.0563525,1.0563525,0.9324538920483456,0.9324538920483456,-2.997705,1.227705,-4.0540575,2.2840575000000003,-5.11041,3.3404100000000003,Parent,14,0.9874884261985469,True,True,-0.31811344655268237,0.41811344655268234,4.035525401447678,3.9850346275598265,4.010200551738811,Higher than peer-implied value,0.10707885660637506,-0.452807285494738,-0.18341960761062676,-0.5875011244367936,-0.048725768668571146,-0.5336235888599714,-0.10260330424539338,4.117180919751083,Outlier,forward_transition,,,-0.5774484164196463,,,0.3693926065586981,-0.029999999999999888,-0.7808980200755006,0.7508980200755007,-0.7508980200755007,very strong,4.895059074794309,0.15339917426983318,1.0896879903408998,current-month,0.7604870524039516,20,very strong weaker than history,Trusted peer score >= 2.5,history=Higher than own-history expected value; peers=very far above peer-implied value; parent peers=14; peer model trusted; peer score v2=4.01 (high); history/peer direction agree; pattern=very strong weaker than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.03; transition mean=-0.78; transition delta=+0.75; transition magnitude delta=-0.75; transition degree=very strong; transition degree score=4.90; component current-month sd=0.15; component historical month sd=1.09; transition degree scale source=current-month; actual-to-date z=-0.58; mark z=0.37; transition z=0.76; pattern years=20
PG&E-Topock,Global_G02,Global_G02_S06,0.1,-1.1806999999999999,1.2807,Higher than own-history expected value,-1.1806999999999999,0.9877081200000004,0.9877081200000004,1.2966381201766362,1.2966381201766362,-3.1561162400000007,0.794716240000001,-4.143824360000001,1.7824243600000012,-5.1315324800000015,2.770132480000002,Parent,14,0.9774762055842589,True,True,-0.446965430037869,0.546965430037869,3.6494022197178078,3.5672038343805346,3.608068956017082,Higher than peer-implied value,0.14881125185933564,-0.6351104320717056,-0.2588204280040324,-0.8232554341055421,-0.07067542597019583,-0.7479974332920074,-0.1459334267837305,3.8339838296567446,Outlier,forward_transition,,,-0.2729215354354612,,,1.8927250873299453,0.033100000000000046,-0.5229928186911245,0.5560928186911245,-0.48989281869112444,,,0.14564875214020875,0.5982971482823073,current-month,0.8055927722815408,12,opposite transition,Trusted peer score >= 2.5,history=Higher than own-history expected value; peers=very far above peer-implied value; parent peers=14; peer model trusted; peer score v2=3.61 (high); history/peer direction agree; pattern=opposite transition; historical check type=forward_transition; current month name=August; mark month name=September; current transition=+0.03; transition mean=-0.52; transition delta=+0.56; transition magnitude delta=-0.49; component current-month sd=0.15; component historical month sd=0.60; transition degree scale source=current-month; actual-to-date z=-0.27; mark z=1.89; transition z=0.81; pattern years=12
TGP-Z1 100L,Global_G01,Global_G01_S06,-0.43,-0.41000000000000014,-0.01999999999999985,Lower than own-history expected value,-0.41000000000000014,0.1408469999999996,0.1408469999999996,-0.14199805462665094,0.14199805462665094,-0.6916939999999994,-0.12830600000000092,-0.832540999999999,0.012540999999998692,-0.9733879999999986,0.1533879999999983,Parent,33,0.9309043169487669,True,True,-0.30261547762665336,-0.12738452237334663,-2.7019661048108508,2.515271911217665,2.6069483018450788,Lower than peer-implied value,0.050864016222040405,-0.3685128564168435,-0.23671809883646322,-0.4344102352070336,-0.1708207200462731,-0.40805128369095756,-0.19717967156234917,2.610812688802223,Outlier,forward_transition,,,0.22881413732380848,,,-0.48013365734210783,-0.22000000000000003,-0.07263518981520654,-0.14736481018479347,0.14736481018479347,moderate,1.3927774930783334,0.10580642702596091,0.17488215142055671,current-month,-1.1671512135589182,10,moderate stronger than history,Trusted peer score >= 2.5,history=Lower than own-history expected value; peers=moderately below peer-implied value; parent peers=33; peer model trusted; peer score v2=2.61 (high); history/peer direction agree; pattern=moderate stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.22; transition mean=-0.07; transition delta=-0.15; transition magnitude delta=+0.15; transition degree=moderate; transition degree score=1.39; component current-month sd=0.11; component historical month sd=0.17; transition degree scale source=current-month; actual-to-date z=0.23; mark z=-0.48; transition z=-1.17; pattern years=10
Transco-65,Global_G10,Global_G10_S01,0.3425,0.7250000000000001,-0.38250000000000006,Lower than own-history expected value,0.7250000000000001,0.214977,0.214977,-1.7792601068951566,1.7792601068951566,0.2950460000000001,1.154954,0.08006900000000006,1.3699310000000002,-0.13490799999999992,1.584908,Subgroup,5,0.966799036865925,True,True,0.43345174951629845,-0.09095174951629839,-1.8304870491588328,1.7697131161223087,1.7998435875898795,Lower than peer-implied value,0.05361267312081314,0.3652949215458696,0.5016085774867273,0.29713809357544074,0.5697654054571561,0.3244008247636123,0.5425026742689846,2.530850344800532,Outlier,forward_transition,,,0.13580613745494546,,,1.2148320822246816,-0.2024999999999999,-0.30643809207117473,0.10393809207117483,-0.10393809207117483,moderate,1.466064674838294,0.07089598013992059,0.4141699116571738,current-month,0.15904283857919746,12,moderate weaker than history,Trusted peer score >= 1.5 with direction agreement and |Forward_Robust_Z| >= 1.5,history=Lower than own-history expected value; peers=slightly below peer-implied value; subgroup peers=5; peer model trusted; peer score v2=1.80; history/peer direction agree; pattern=moderate weaker than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.20; transition mean=-0.31; transition delta=+0.10; transition magnitude delta=-0.10; transition degree=moderate; transition degree score=1.47; component current-month sd=0.07; component historical month sd=0.41; transition degree scale source=current-month; actual-to-date z=0.14; mark z=1.21; transition z=0.16; pattern years=12
AB Pool (inter),Global_G09,Global_G09_S03,-0.86,-1.5551000000000001,0.6951000000000002,Higher than own-history expected value,-1.5551000000000001,1.1201043,1.1201043,0.6205672096785989,0.6205672096785989,-3.7953086000000003,0.6851085999999997,-4.9154129,1.8052128999999997,-6.0355172,2.9253171999999994,Parent,5,0.9971472774050618,True,False,-0.7777715029624017,-0.08222849703759816,-2.3833631602502776,2.376564086311088,2.3799611953323336,Lower than peer-implied value,0.056448020838590726,-0.8484323889463803,-0.7071106169784231,-0.9190932749303589,-0.6364497309944446,-0.8908289205367674,-0.664714085388036,2.459536328866885,Watch,forward_transition,,,1.1540015903078422,,,1.1927056007317878,-0.13959999999999984,-0.5308775085381465,0.3912775085381467,-0.3912775085381467,very strong,4.879510884301119,0.08018785444192905,1.4646444208774867,current-month,0.5225342213860747,4,very strong weaker than history,Trusted peer score >= 1.25,history=Higher than own-history expected value; peers=moderately below peer-implied value; parent peers=5; peer model trusted; peer score v2=2.38 (strong-support); history/peer direction disagree; pattern=very strong weaker than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.14; transition mean=-0.53; transition delta=+0.39; transition magnitude delta=-0.39; transition degree=very strong; transition degree score=4.88; component current-month sd=0.08; component historical month sd=1.46; transition degree scale source=current-month; actual-to-date z=1.15; mark z=1.19; transition z=0.52; pattern years=4
Atmos Zone 3,Global_G12,Global_G12_S01,-0.8197,-0.5234000000000001,-0.2962999999999999,Lower than own-history expected value,-0.5234000000000001,0.12913445999999992,0.12913445999999992,-2.2945076008371434,2.2945076008371434,-0.78166892,-0.26513108000000024,-0.9108033799999998,-0.13599662000000035,-1.03993784,-0.006862160000000395,OwnHistoryOnly,0,,False,False,,,,,0.0,,,,,,,,,2.2945076008371434,Watch,forward_transition,,,-0.2257190413887566,,,-3.0319452786071017,-0.5250999999999998,-0.028008297458665052,-0.4970917025413347,0.4970917025413347,very strong,5.159406961071184,0.0963466743933938,0.18635975033260624,current-month,-7.168537432160505,12,very stronger than history,|Forward_Robust_Z| >= 2.0,history=slightly below own-history expected value; own z=2.29 watch; pattern=very stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.53; transition mean=-0.03; transition delta=-0.50; transition magnitude delta=+0.50; transition degree=very strong; transition degree score=5.16; component current-month sd=0.10; component historical month sd=0.19; transition degree scale source=current-month; actual-to-date z=-0.23; mark z=-3.03; transition z=-7.17; pattern years=12
Transco-30,Global_G04,Global_G04_S01,-0.4125,-0.43999999999999995,0.02749999999999997,Higher than own-history expected value,-0.43999999999999995,0.10378200000000042,0.10378200000000042,0.26497851265151817,0.26497851265151817,-0.6475640000000008,-0.23243599999999912,-0.7513460000000012,-0.1286539999999987,-0.8551280000000017,-0.024871999999998284,Subgroup,5,0.9395837056355905,True,True,-0.4948136152599309,0.08231361525993093,2.3138363148221113,2.174042898914758,2.2428507327707083,Higher than peer-implied value,0.030236704350316456,-0.533805724467235,-0.45582150605262683,-0.5727978336745391,-0.4168293968453228,-0.5572009899916174,-0.4324262405282444,2.258449251512443,Watch,forward_transition,,,-0.7971087813297226,,,-0.6978653216493933,-0.0824999999999999,-0.03451801215226027,-0.04798198784773964,0.04798198784773964,mild,0.7067186257824566,0.06789404735812006,0.1506423892359206,current-month,-0.3701193763666953,26,mild stronger than history,Trusted peer score >= 1.25,history=Higher than own-history expected value; peers=moderately above peer-implied value; subgroup peers=5; peer model trusted; peer score v2=2.24 (strong-support); history/peer direction agree; pattern=mild stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.08; transition mean=-0.03; transition delta=-0.05; transition magnitude delta=+0.05; transition degree=mild; transition degree score=0.71; component current-month sd=0.07; component historical month sd=0.15; transition degree scale source=current-month; actual-to-date z=-0.80; mark z=-0.70; transition z=-0.37; pattern years=26
ANR-SE-T,Global_G06,Global_G06_S01,-0.1525,-0.3074999999999999,0.1549999999999999,Higher than own-history expected value,-0.3074999999999999,0.1074885,0.1074885,1.4420147271568575,1.4420147271568575,-0.5224769999999999,-0.09252299999999988,-0.6299655,0.014965500000000131,-0.7374539999999998,0.12245400000000012,Subgroup,4,0.8302249462258794,True,True,-0.21107091362426206,0.058570913624262096,1.4089370152223302,1.16973465769861,1.2837766383682145,Higher than peer-implied value,0.04920261945696055,-0.27857038133435946,-0.14357144591416465,-0.3460698490444568,-0.07607197820406728,-0.3190700619604179,-0.10307176528810623,1.9306705908976962,Watch,forward_transition,,,-6.914467890500115,,,-1.9088713119137184,0.020450000000000162,-0.0005360758084575497,0.020986075808457714,0.01991392419154261,,,0.09936264388591921,0.05344331617034033,current-month,0.3880948274713119,26,in-line transition,Trusted peer score >= 1.25,history=Higher than own-history expected value; peers=slightly above peer-implied value; subgroup peers=4; peer model trusted; peer score v2=1.28 watch; history/peer direction agree; pattern=in-line transition; historical check type=forward_transition; current month name=August; mark month name=September; current transition=+0.02; transition mean=-0.00; transition delta=+0.02; transition magnitude delta=+0.02; component current-month sd=0.10; component historical month sd=0.05; transition degree scale source=current-month; actual-to-date z=-6.91; mark z=-1.91; transition z=0.39; pattern years=26
