Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,Component,REGION,PriceRegionLabel,Group_Outlier_Flag,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis
Global_G01,1,regular,Global_G01_S01,1,regular,Eastern Gas-North,Northeast,Northeast - Appalachia,In-family,63,-0.905726984126984,0.21999062825078966,0.09916434958416531,-0.9099999999999999,0.2520419999999999,-1.36,-0.41500000000000004,2026-09-03,-1.1258
Global_G01,1,regular,Global_G01_S01,1,regular,Leidy-Transco,Northeast,Northeast - Appalachia,In-family,63,-0.841722222222222,0.24123440577675884,0.11365111155921978,-0.8699999999999999,0.2446289999999997,-1.3,-0.2749999999999999,2026-09-03,-1.0334999999999999
Global_G01,1,regular,Global_G01_S01,1,regular,Millennium-Ramapo,Northeast,Northeast - Demand,In-family,63,-0.8328698412698411,0.2400234199829195,0.11220593570250492,-0.8224,0.2428498799999999,-1.2561,-0.25039999999999996,2026-09-03,-1.0408
Global_G01,1,regular,Global_G01_S01,1,regular,TCO,Northeast,Northeast - Appalachia,In-family,63,-0.7669555555555556,0.22574083468536307,0.07793230977878414,-0.76,0.2446289999999997,-1.2249999999999999,-0.31000000000000005,2026-09-03,-1.0781999999999998
Global_G01,1,regular,Global_G01_S01,1,regular,TGP-Z4 Sta-219,Northeast,Northeast - Appalachia,In-family,63,-0.7533428571428571,0.2513639680303506,0.10843696729067218,-0.675,0.28169399999999956,-1.185,-0.27,2026-09-03,-1.0856
Global_G01,1,regular,Global_G01_S01,1,regular,TGP-Z4 Sta-313,Northeast,Northeast - Appalachia,No forward mark,63,-0.8056952380952379,0.23277255923282106,0.09024768175052031,-0.77,0.23721599999999954,-1.23,-0.3650000000000002,2026-09-03,-1.0937999999999999
Global_G01,1,regular,Global_G01_S02,2,supergroup,TETCO-M3,Northeast,Northeast - Demand,In-family,63,-0.7735285714285716,0.2420645704502852,0.10769216058568472,-0.77,0.2520419999999999,-1.2049999999999998,-0.19499999999999984,2026-09-03,-0.9972999999999999
Global_G01,1,regular,Global_G01_S02,2,supergroup,TGP-Mahwah,Northeast,Northeast - Demand,Watch,63,-0.8408666666666665,0.2537302097796766,0.11487946691911158,-0.8174999999999999,0.25560024000000015,-1.2592999999999999,-0.24429999999999996,2026-09-03,-1.0346
Global_G01,1,regular,Global_G01_S02,2,supergroup,Transco-Z6 (non-NY north),Northeast,Northeast - Demand,In-family,62,-0.8046774193548388,0.2478015979382943,0.11754257454472014,-0.83,0.28910699999999956,-1.28,-0.22999999999999998,2026-09-02,-0.9849999999999999
Global_G01,1,regular,Global_G01_S02,2,supergroup,Transco-Z6 (non-NY south),Northeast,Northeast - Demand,No forward mark,62,-0.8044354838709677,0.24776890481992217,0.11740779430657244,-0.8275,0.28540049999999967,-1.28,-0.22999999999999998,2026-09-02,-0.9849999999999999
Global_G01,1,regular,Global_G01_S02,2,supergroup,Transco-Z6 Sta-210,Northeast,Northeast - Demand,In-family,63,-0.8062952380952381,0.24952378025439256,0.11834273371420327,-0.8392,0.28792091999999986,-1.2819,-0.2153999999999998,2026-09-03,-0.9986999999999999
Global_G01,1,regular,Global_G01_S03,3,supergroup,Millennium East Pool,Northeast,Northeast - Appalachia,In-family,63,-0.8742190476190476,0.23383052234411889,0.10734980042356071,-0.8899999999999999,0.214977,-1.325,-0.3700000000000001,2026-09-03,-1.0908
Global_G01,1,regular,Global_G01_S03,3,supergroup,TGP-Z4 300L,Northeast,Northeast - Appalachia,No forward mark,62,-0.9372580645161289,0.255861895092112,0.10741224655681728,-0.9175000000000001,0.25574849999999966,-1.36,-0.3799999999999999,2026-09-02,-1.1849999999999998
Global_G01,1,regular,Global_G01_S03,3,supergroup,TGP-Z4 Marcellus,Northeast,Northeast - Appalachia,In-family,63,-0.9431873015873015,0.2581167099689243,0.10762129167594549,-0.925,0.2594549999999997,-1.36,-0.3799999999999999,2026-09-03,-1.3108
Global_G01,1,regular,Global_G01_S04,4,regular,Transco-165,Northeast,Northeast - Demand,In-family,63,-0.7839476190476191,0.2526313748662668,0.11370393179786249,-0.7949999999999999,0.2520419999999999,-1.295,-0.2250000000000001,2026-09-03,-0.9586999999999999
Global_G01,1,regular,Global_G01_S04,4,regular,Transco-Z5 North,Northeast,Northeast - Demand,Outlier,63,-0.7081079365079366,0.24991453719969522,0.12215851727221892,-0.6950000000000001,0.2446289999999997,-1.2049999999999998,-0.0950000000000002,2026-09-03,-0.9458
Global_G01,1,regular,Global_G01_S04,4,regular,Transco-Z6 (NY),Northeast,Northeast - Demand,In-family,63,-0.7231269841269842,0.26110629970183336,0.13647647658876436,-0.7349999999999999,0.2668679999999999,-1.185,-0.03500000000000014,2026-09-03,-0.9169999999999998
