Component,Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,REGION,PriceRegionLabel,Tree_Depth,Tree_Level_1,Tree_Level_2,Tree_Level_3,Scope,Season,Fin Basis Name,Platts Market,Platt Market w/ ICE in the name,Platts Forward Settle,GasDaily,ICE Market,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis,Final Mark,Group_Outlier_Flag,Plot_Flag_Label,Plot_Flag_Short,Plot_Annotate,Plot_Label_Text,Chosen_Group_Level,Chosen_Group_Reliability,Overall_Combined_Score,Outlier_Reasons,History_Window_Start,History_Window_End,Has_Forward_Final_Mark
Lebanon,Global_G01,1,regular,Global_G01_S01,1,regular,Northeast,Northeast - Appalachia,3,Global_G01,Global_G01_S01,Lebanon,GLOBAL,Summer,,Lebanon Hub-Ohio FDt Com,,Lebanon Hub,,Lebanon,61,-0.41573770491803275,0.1460189373151469,0.06643988617221032,-0.44999999999999973,0.20756399999999953,-0.7199999999999998,-0.15500000000000025,2026-08-03,-0.21499999999999986,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
Bennington,Global_G01,1,regular,Global_G01_S04,4,supergroup,South Central,SouthCentral - TexCoast,3,Global_G01,Global_G01_S04,Bennington,GLOBAL,Summer,,,ICE Bennington Oklahoma (buyers' choice) FDt Com,,NGPL-TXOK East,Bennington,61,-0.3552540983606557,0.1288749776253074,0.07479652962960755,-0.3427000000000002,0.12661404000000054,-0.6549999999999998,-0.121,2026-08-04,-0.37270000000000003,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
MEP-Lamar,Global_G01,1,regular,Global_G01_S04,4,supergroup,South Central,SouthCentral - TexCoast,3,Global_G01,Global_G01_S04,MEP-Lamar,GLOBAL,Summer,,,ICE MEP-Lamar FDt Com,,NGPL-TXOK East,MEP-Lamar,61,-0.35316557377049185,0.1319625879877145,0.07551342745491488,-0.3498000000000001,0.13032054000000046,-0.6532999999999998,-0.11319999999999997,2026-08-04,-0.363,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
REX-Z3 Del Pool,Global_G01,1,regular,Global_G01_S05,5,supergroup,Midwest,Midwest - Chicago,3,Global_G01,Global_G01_S05,REX-Z3 Del Pool,GLOBAL,Summer,,REX Zone 3 delivered FDt Com,ICE REX zone 3 delivered Pool FDt Com,"REX, zone 3 delivered",,REX-Z3 Del Pool,61,-0.41303278688524586,0.14894148372354318,0.06695347908497307,-0.4299999999999997,0.19273799999999983,-0.7199999999999998,-0.14500000000000002,2026-08-03,-0.20000000000000018,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
TETCO-M1 24,Global_G01,1,regular,Global_G01_S06,6,regular,South Central,SouthCentral - Perryville,3,Global_G01,Global_G01_S06,TETCO-M1 24,GLOBAL,Summer,,TX Eastern M-1 24-in FDt Com,,,,TETCO-M1 24,61,-0.3304918032786885,0.10997994104241914,0.07268751320736722,-0.3200000000000003,0.08895600000000073,-0.6149999999999998,-0.10000000000000009,2026-08-03,-0.16500000000000004,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
MountainWest-North,Global_G02,2,regular,Global_G02_S01,1,regular,Rockies,Mountain - WesTex,3,Global_G02,Global_G02_S01,MountainWest-North,GLOBAL,Summer,,MountainWest FDt Com,ICE MountainWest North Pool FDt Com,,,MountainWest-North,60,-1.1335000000000002,0.7138783426716301,0.21986370705177907,-1.0750000000000002,0.9785160000000002,-2.51,-0.20500000000000007,2026-08-03,-0.21499999999999986,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
Rover (receipt),Global_G03,3,regular,Global_G03_S01,1,regular,Northeast,Northeast - Appalachia,3,Global_G03,Global_G03_S01,Rover (receipt),GLOBAL,Summer,,,ICE Rover receipts FDt Com,,TETCO-M2 (receipt),Rover (receipt),61,-0.7311770491803278,0.1515895768112511,0.11224536091982873,-0.7472999999999996,0.17331594000000033,-1.0261,-0.30909999999999993,2026-08-04,-0.6435,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
TGP-Z4 300L,Global_G03,3,regular,Global_G03_S02,2,supergroup,Northeast,Northeast - Appalachia,3,Global_G03,Global_G03_S02,TGP-Z4 300L,GLOBAL,Summer,,Tennessee zone 4-300 leg FDt Com,,"Tennessee, zone 4-300 leg",,,61,-0.8349180327868853,0.15323046858484846,0.11814527110615035,-0.8599999999999999,0.13343399999999978,-1.0899999999999999,-0.3799999999999999,2026-08-03,-0.925,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
TGP-Z4 Sta-313,Global_G03,3,regular,Global_G03_S04,4,supergroup,Northeast,Northeast - Appalachia,3,Global_G03,Global_G03_S04,TGP-Z4 Sta-313,GLOBAL,Summer,,Tennessee Zone 4-313 Pool FDt Com,,"Tennessee, zone 4-313 Pool",,TGP-Z4 Sta-313,62,-0.7149532258064517,0.12259899140833745,0.09298688667170321,-0.7050000000000001,0.10378199999999976,-0.9449999999999998,-0.3650000000000002,2026-08-04,-0.6770999999999998,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
Agua Dulce Hub,Global_G04,4,regular,Global_G04_S01,1,regular,South Central,SouthCentral - TexCoast,3,Global_G04,Global_G04_S01,Agua Dulce Hub,GLOBAL,Summer,,Agua Dulce Hub FDt Com,ICE Agua Dulce Hub FDt Com,,HSC-HPL Pool,Agua Dulce Hub,62,-0.44641612903225814,0.12097706759188133,0.06907764380982416,-0.43000000000000016,0.1074885,-0.6949999999999998,-0.14000000000000012,2026-08-04,-0.41279999999999983,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
ENT-STX Map,Global_G04,4,regular,Global_G04_S01,1,regular,South Central,SouthCentral - Mexico,3,Global_G04,Global_G04_S01,ENT-STX Map,GLOBAL,Summer,,,ICE ENT STX Map FDt Com,,HSC-HPL Pool,ENT-STX Map,61,-0.45289016393442627,0.10788302724852507,0.05607150237447778,-0.4348000000000001,0.10971240000000042,-0.6717999999999997,-0.18310000000000004,2026-08-04,-0.42169999999999996,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
Tres Palacios (inj),Global_G04,4,regular,Global_G04_S01,1,regular,South Central,SouthCentral - TexCoast,3,Global_G04,Global_G04_S01,Tres Palacios (inj),GLOBAL,Summer,,,ICE Tres Palacios Hub - Injection FDt Com,,,Tres Palacios (inj),58,-0.46069310344827585,0.11362253276354625,0.067334555018198,-0.4575500000000001,0.08784405000000003,-0.69,-0.2450000000000001,2026-08-03,-0.2974999999999999,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
TGP-Z0 Border Pool,Global_G04,4,regular,Global_G04_S02,2,supergroup,South Central,SouthCentral - TexCoast,3,Global_G04,Global_G04_S02,TGP-Z0 Border Pool,GLOBAL,Summer,,Tenn Zn0 FDt Com,ICE Tennessee zone 0 South Texas Border Pool FDt Com,"Tennessee, zone 0",TGP-Z0 South,TGP-Z0 Border Pool,61,-0.46590163934426226,0.11122615173870348,0.06194191510970273,-0.46499999999999986,0.08895600000000073,-0.69,-0.21499999999999986,2026-08-03,-0.3599999999999999,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
PNGTS,Global_G05,5,regular,Global_G05_S01,1,regular,Northeast,Northeast - Demand Rest,3,Global_G05,Global_G05_S01,PNGTS,GLOBAL,Summer,,PNGTS delivered FDt Com,ICE PNGTS FDt Com,,,PNGTS,61,0.12114754098360654,0.7024785841591086,0.5207794774415498,-0.03000000000000025,0.3706499999999993,-0.45500000000000007,3.545,2026-08-03,0.21499999999999986,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
TGP-Z6 300L,Global_G05,5,regular,Global_G05_S02,2,supergroup,Northeast,Northeast - Demand Rest,3,Global_G05,Global_G05_S02,TGP-Z6 300L,GLOBAL,Summer,,Tenn Zn6 Dlvd FDt Com,ICE Tennessee zone 6 300 leg FDt Com,,,TGP-Z6 300L,61,-0.3305737704918032,0.4553671580536741,0.3269571664615489,-0.42500000000000027,0.2298029999999997,-0.7949999999999999,1.6150000000000002,2026-08-03,-0.18500000000000005,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
Enable West Pool ,Global_G06,6,regular,Global_G06_S01,1,regular,South Central,SouthCentral - Midcon,3,Global_G06,Global_G06_S01,Enable West Pool ,GLOBAL,Summer,,,ICE Enable Gas West Pool FDt Com,,Panhandle,Enable West Pool ,61,-0.4577655737704919,0.17353234269653778,0.10932918512610894,-0.4605999999999999,0.23780903999999947,-0.7877000000000001,-0.14329999999999998,2026-08-04,-0.4495999999999998,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
Transco-Z6 (non-NY south),Global_G07,7,regular,Global_G07_S02,2,supergroup,Northeast,Northeast - Demand,3,Global_G07,Global_G07_S02,Transco-Z6 (non-NY south),GLOBAL,Summer,TRANSCO-Z6 (NON-NY NORTH),Transco Zn6 non-N.Y. FDt Com,ICE Transco zone 6 non-NY South FDt Com,,Transco-Z6 (non-NY north),Transco-Z6 (non-NY south),61,-0.7177868852459017,0.17120291223711687,0.12809512708109122,-0.71,0.1779119999999995,-0.98,-0.22999999999999998,2026-08-03,-0.835,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
TW-Panhandle,Global_G08,8,regular,Global_G08_S01,1,supergroup,South Central,Mountain - Panhandle,3,Global_G08,Global_G08_S01,TW-Panhandle,GLOBAL,Summer,,Transwestn Perm FDt Com,ICE Transwestern Panhandle Pool FDt Com,"Transwestern, Permian Basin",Panhandle,TW-Panhandle,61,-1.9662295081967214,1.154333377516256,0.36560895529525855,-1.71,1.178667,-4.31,-0.5949999999999998,2026-08-03,-0.75,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
TW-WTX,Global_G08,8,regular,Global_G08_S02,2,supergroup,South Central,Mountain - Panhandle,3,Global_G08,Global_G08_S02,TW-WTX,GLOBAL,Summer,,,ICE Transwestern West Texas Pool FDt Com,,,TW-WTX,61,-1.9431508196721314,1.1652313590903955,0.3787502752548831,-1.705,1.27785294,-4.31,-0.5949999999999998,2026-08-04,-0.7397999999999998,,No forward mark,,,False,,OwnHistoryOnly,,0.0,No forward mark,2026-06-04,2026-08-04,False
