Component,Parent_Group_Label,Parent_Group_Number,Parent_Group_Type,Subgroup_Label,Subgroup_Number,Subgroup_Type,REGION,PriceRegionLabel,Tree_Depth,Tree_Level_1,Tree_Level_2,Tree_Level_3,Scope,Season,Fin Basis Name,Platts Market,Platt Market w/ ICE in the name,Platts Forward Settle,GasDaily,ICE Market,Hist_Count,Hist_Mean,Hist_SD,Hist_Daily_Change_SD,Hist_Median,Hist_Robust_SD,Hist_Min,Hist_Max,History_Last_Date,History_Last_Basis,Final Mark,Group_Outlier_Flag,Plot_Flag_Label,Plot_Flag_Short,Plot_Annotate,Plot_Label_Text,Chosen_Group_Level,Chosen_Group_Reliability,Overall_Combined_Score,Outlier_Reasons,History_Window_Start,History_Window_End,Has_Forward_Final_Mark
CG-Mainline,Global_G01,1,regular,Global_G01_S02,2,regular,South Central,SouthCentral - Perryville,3,Global_G01,Global_G01_S02,CG-Mainline,GLOBAL,Summer,CG-MAINLINE,Col Gulf Mnline FDt Com,,"Columbia Gulf, mainline",,CG-Mainline,62,-0.3956306451612904,0.10219782742663604,0.07117415453115016,-0.3970499999999997,0.05997117000000047,-0.6400000000000001,-0.20000000000000018,2026-08-04,-0.4040999999999997,-0.3225,Watch,Watch,W,True,CG-Mainline [Watch],Subgroup,0.9268642057196338,1.8603564388104772,history=Higher than own-history expected value; peers=slightly below peer-implied value; subgroup peers=5; peer model trusted; peer score v2=1.38 watch; history/peer direction disagree; pattern=mild stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.08; transition mean=-0.04; transition delta=-0.04; transition magnitude delta=+0.04; transition degree=mild; transition degree score=0.51; component current-month sd=0.08; component historical month sd=0.16; transition degree scale source=current-month; actual-to-date z=0.16; mark z=-0.04; transition z=-0.31; pattern years=26,2026-06-04,2026-08-04,True
Carthage,Global_G01,1,regular,Global_G01_S02,2,regular,South Central,SouthCentral - Perryville,3,Global_G01,Global_G01_S02,Carthage,GLOBAL,Summer,HSC-HPL POOL,Carthage Hub FDt Com,ICE Carthage Hub Tailgate FDt Com,,,Carthage,61,-0.4079508196721311,0.13565082948874144,0.08164252208518169,-0.375,0.13343400000000044,-0.6799999999999997,-0.13500000000000023,2026-08-03,-0.2549999999999999,-0.3752,Watch,Watch,W,True,Carthage [Watch],Subgroup,0.9323879369411088,2.109777281264624,history=Lower than own-history expected value; peers=moderately below peer-implied value; subgroup peers=5; peer model trusted; peer score v2=2.11 (strong-support); history/peer direction agree; pattern=slight stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.12; transition mean=-0.05; transition delta=-0.07; transition magnitude delta=+0.07; transition degree=slight; transition degree score=0.39; component historical month sd=0.18; transition degree scale source=historical same-month; actual-to-date z=-0.16; mark z=-0.34; transition z=-0.46; pattern years=26,2026-06-04,2026-08-04,True
Gulf S. Pool 16,Global_G01,1,regular,Global_G01_S02,2,regular,South Central,SouthCentral - TexCoast,3,Global_G01,Global_G01_S02,Gulf S. Pool 16,GLOBAL,Summer,,,ICE Gulf South Pool Area #16 FDt Com,,,Gulf S. Pool 16,60,-0.40904333333333337,0.12612696235447982,0.0728537387319542,-0.40790000000000015,0.11045370000000002,-0.6499999999999999,-0.18500000000000005,2026-08-04,-0.4020999999999999,-0.3752,Watch,Watch,W,True,Gulf S. Pool 16 [Watch],Subgroup,0.9256592188588406,2.3297702102485083,history=Higher than own-history expected value; peers=moderately below peer-implied value; subgroup peers=5; peer model trusted; peer score v2=2.31 (strong-support); history/peer direction disagree; pattern=moderate stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.14; transition mean=-0.03; transition delta=-0.11; transition magnitude delta=+0.11; transition degree=moderate; transition degree score=1.29; component current-month sd=0.09; component historical month sd=0.22; transition degree scale source=current-month; actual-to-date z=0.19; mark z=-0.35; transition z=-1.12; pattern years=10,2026-06-04,2026-08-04,True
Moss Bluff Inter,Global_G01,1,regular,Global_G01_S02,2,regular,South Central,Unassigned,3,Global_G01,Global_G01_S02,Moss Bluff Inter,GLOBAL,Summer,,,ICE Moss Bluff Interconnect (buyers' choice dlvd) FDt Com,,,Moss Bluff Inter,61,-0.2864770491803279,0.12282127040737228,0.07578785019571496,-0.2621000000000002,0.0803569199999997,-0.5747999999999998,-0.11499999999999977,2026-08-04,-0.33219999999999983,0.485,Strong outlier,Strong outlier,SO,True,Moss Bluff Inter [Strong outlier],Subgroup,0.8617855230218329,13.73999887029757,Strong: own-history |z| alone clears the strong tier (≥4); history=very far above own-history expected value; own z=9.30 (very high); peers=very far above peer-implied value; subgroup peers=5; peer model trusted; peer score v2=10.12 (high); history/peer direction agree; pattern=very stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=+0.66; transition mean=+0.04; transition delta=+0.62; transition magnitude delta=+0.62; transition degree=very strong; transition degree score=7.73; component current-month sd=0.08; component historical month sd=0.10; transition degree scale source=current-month; actual-to-date z=-0.90; mark z=3.81; transition z=9.17; pattern years=12,2026-06-04,2026-08-04,True
TGP-Z1 100L,Global_G01,1,regular,Global_G01_S08,8,supergroup,South Central,SouthCentral - Perryville,3,Global_G01,Global_G01_S08,TGP-Z1 100L,GLOBAL,Summer,,Tennessee Zone 1 FDt Com,ICE Tennessee zone 1 100 Leg Pool FDt Com,"Tennessee, zone 1",,TGP-Z1 100L,61,-0.39016393442622954,0.12527625211612253,0.0686003636069493,-0.41000000000000014,0.14825999999999948,-0.685,-0.14000000000000012,2026-08-03,-0.20999999999999996,-0.43,Watch,Watch,W,True,TGP-Z1 100L [Watch],Parent,0.9300360758291262,2.0135833830452814,history=Lower than own-history expected value; peers=moderately below peer-implied value; parent peers=35; peer model trusted; peer score v2=2.01 (strong-support); history/peer direction agree; pattern=mild stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.22; transition mean=-0.07; transition delta=-0.15; transition magnitude delta=+0.15; transition degree=mild; transition degree score=0.84; component historical month sd=0.17; transition degree scale source=historical same-month; actual-to-date z=0.23; mark z=-0.48; transition z=-1.17; pattern years=10,2026-06-04,2026-08-04,True
CIG-Mainline,Global_G02,2,regular,Global_G02_S04,4,supergroup,Rockies,Mountain - Rockies,3,Global_G02,Global_G02_S04,CIG-Mainline,GLOBAL,Summer,CIG,CIG Rocky Mtns FDt Com,ICE CIG Mainline Pool FDt Com,"CIG, Rockies",,CIG-Mainline,62,-1.1079774193548384,0.7041494523785661,0.2044444315058996,-1.0099999999999998,0.9229184999999998,-2.5349999999999997,-0.14500000000000002,2026-08-04,-0.4945999999999997,-0.6042,Watch,Watch,W,True,CIG-Mainline [Watch],Parent,0.9949862714588896,1.5173957059500436,history=Higher than own-history expected value; peers=slightly below peer-implied value; parent peers=13; peer model trusted; peer score v2=1.45 watch; history/peer direction disagree; pattern=stronger than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.35; transition mean=-0.13; transition delta=-0.22; transition magnitude delta=+0.22; transition degree=strong; transition degree score=1.80; component current-month sd=0.12; component historical month sd=0.82; transition degree scale source=current-month; actual-to-date z=0.54; mark z=-0.16; transition z=-0.76; pattern years=26,2026-06-04,2026-08-04,True
KRGT-Del Pool,Global_G02,2,regular,Global_G02_S05,5,regular,Rockies,West - California,3,Global_G02,Global_G02_S05,KRGT-Del Pool,GLOBAL,Summer,,Kern River Dlvd FDt Com,,"Kern River, delivered",,KRGT-Del Pool,62,-0.9052725806451611,0.8084495381860461,0.23975108141205823,-0.9300000000000002,0.9859289999999999,-2.5149999999999997,0.42500000000000027,2026-08-04,-0.026899999999999924,-0.0462,Outlier,Outlier,O,True,KRGT-Del Pool [Outlier],Parent,0.9891121213319908,4.14484074679701,history=Higher than own-history expected value; peers=very far above peer-implied value; parent peers=14; peer model trusted; peer score v2=4.05 (high); history/peer direction agree; pattern=very strong weaker than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.18; transition mean=-0.76; transition delta=+0.59; transition magnitude delta=-0.59; transition degree=very strong; transition degree score=7.50; component current-month sd=0.08; component historical month sd=1.09; transition degree scale source=current-month; actual-to-date z=-0.55; mark z=-0.02; transition z=0.58; pattern years=20,2026-06-04,2026-08-04,True
PG&E-Topock,Global_G02,2,regular,Global_G02_S05,5,regular,Rockies,West - California,3,Global_G02,Global_G02_S05,PG&E-Topock,GLOBAL,Summer,,,ICE PG&E Topock FDt Com,,,PG&E-Topock,61,-1.1177606557377051,0.7794702513627847,0.23409444231101245,-1.2225,0.9257354400000004,-2.6818999999999997,0.12959999999999994,2026-08-04,-0.1903999999999999,-0.0462,Outlier,Outlier,O,True,PG&E-Topock [Outlier],Parent,0.9797041987218044,3.776294684992518,history=Higher than own-history expected value; peers=very far above peer-implied value; parent peers=14; peer model trusted; peer score v2=3.56 (high); history/peer direction agree; pattern=opposite transition; historical check type=forward_transition; current month name=August; mark month name=September; current transition=+0.02; transition mean=-0.47; transition delta=+0.50; transition magnitude delta=-0.45; component current-month sd=0.06; component historical month sd=0.60; transition degree scale source=current-month; actual-to-date z=-0.40; mark z=1.13; transition z=0.72; pattern years=12,2026-06-04,2026-08-04,True
Eastern Gas-North,Global_G03,3,regular,Global_G03_S01,1,regular,Northeast,Northeast - Appalachia,3,Global_G03,Global_G03_S01,Eastern Gas-North,GLOBAL,Summer,,Eastern Gas North FDt Com,,,,Eastern Gas-North,62,-0.8147274193548386,0.14173902382617953,0.11421213198647578,-0.7949999999999999,0.11860799999999944,-1.0799999999999998,-0.41500000000000004,2026-08-04,-0.9280999999999997,-1.0575,Outlier,Outlier,O,True,Eastern Gas-North [Outlier],Subgroup,0.9085028146625056,2.862276564981939,history=slightly below own-history expected value; own z=2.21 watch; peers=slightly below peer-implied value; subgroup peers=4; peer model trusted; peer score v2=1.82; history/peer direction agree; pattern=in-line transition; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.15; transition mean=-0.17; transition delta=+0.02; transition magnitude delta=-0.02; component current-month sd=0.01; component historical month sd=0.67; transition degree scale source=current-month; actual-to-date z=-0.11; mark z=-0.07; transition z=0.10; pattern years=21,2026-06-04,2026-08-04,True
Millennium East Pool,Global_G03,3,regular,Global_G03_S01,1,regular,Northeast,Northeast - Appalachia,3,Global_G03,Global_G03_S01,Millennium East Pool,GLOBAL,Summer,MILLENNIUM EAST POOL,Millennium East receipts FDt Com,,"Millennium, East receipts",,Millennium East Pool,62,-0.8022112903225808,0.15645123066104966,0.1259178754828727,-0.8000000000000003,0.14825999999999978,-1.0550000000000002,-0.3700000000000001,2026-08-04,-0.9020999999999999,-0.905,Watch,Watch,W,True,Millennium East Pool [Watch],Subgroup,0.9088133624458355,1.754289920970704,history=Lower than own-history expected value; peers=slightly above peer-implied value; subgroup peers=4; peer model trusted; peer score v2=1.60; history/peer direction disagree; pattern=very strong weaker than history; historical check type=forward_transition; current month name=August; mark month name=September; current transition=-0.02; transition mean=-0.22; transition delta=+0.20; transition magnitude delta=-0.20; transition degree=very strong; transition degree score=33.50; component current-month sd=0.01; component historical month sd=0.50; transition degree scale source=current-month; actual-to-date z=-0.12; mark z=0.46; transition z=0.97; pattern years=13,2026-06-04,2026-08-04,True
