Parent_Group_Label,Parent_Group_Type,Subgroup_Count,Panel_Count,Added_All_Components_Panel,Component_Count,Components_With_Forward_Mark,Components_Without_Forward_Mark,Strong_Outlier_Count,Outlier_Count,Watch_Count,Output_File
Global_G01,regular,6,6,True,21,16,5,0,1,1,Global_G01_spring_basis_overlay.png
Global_G02,regular,5,4,True,13,12,1,1,0,1,Global_G02_spring_basis_overlay.png
Global_G03,regular,4,4,True,12,9,3,0,0,0,Global_G03_spring_basis_overlay.png
Global_G04,regular,4,3,True,8,7,1,0,0,0,Global_G04_spring_basis_overlay.png
Global_G05,regular,3,3,True,7,5,2,0,3,0,Global_G05_spring_basis_overlay.png
Global_G06,regular,2,1,True,6,5,1,0,0,0,Global_G06_spring_basis_overlay.png
Global_G07,regular,1,1,True,6,4,2,0,2,1,Global_G07_spring_basis_overlay.png
Global_G08,regular,1,1,True,5,4,1,0,0,0,Global_G08_spring_basis_overlay.png
Global_G09,regular,2,1,True,5,3,2,0,0,2,Global_G09_spring_basis_overlay.png
Global_G10,regular,2,1,True,5,5,0,0,0,1,Global_G10_spring_basis_overlay.png
Global_G11,regular,2,1,True,5,5,0,0,0,2,Global_G11_spring_basis_overlay.png
Global_G12,regular,1,1,True,4,3,1,0,0,0,Global_G12_spring_basis_overlay.png
Global_G13,regular,1,1,True,4,3,1,0,0,0,Global_G13_spring_basis_overlay.png
Global_G14,regular,2,1,True,4,4,0,0,0,2,Global_G14_spring_basis_overlay.png
Global_G15,regular,2,1,True,4,3,1,0,0,0,Global_G15_spring_basis_overlay.png
Global_G16,regular,2,1,True,3,2,1,0,0,0,Global_G16_spring_basis_overlay.png
Global_G17,regular,1,1,True,2,1,1,0,0,0,Global_G17_spring_basis_overlay.png
Global_G18,regular,1,1,True,2,1,1,1,0,0,Global_G18_spring_basis_overlay.png
Global_G19,regular,1,1,True,2,2,0,0,0,0,Global_G19_spring_basis_overlay.png
Global_G20,regular,1,1,True,2,0,2,0,0,0,Global_G20_spring_basis_overlay.png
Global_G21,regular,1,1,True,2,2,0,1,0,0,Global_G21_spring_basis_overlay.png
Global_G22,regular,1,1,True,2,2,0,0,0,0,Global_G22_spring_basis_overlay.png
Global_G23,regular,1,1,True,2,2,0,0,0,0,Global_G23_spring_basis_overlay.png
Global_OUTLIER,outlier,8,3,True,8,6,2,1,0,0,Global_OUTLIER_spring_basis_overlay.png
