Price Region,Component,Verdict,Signal Status,Confidence,Confidence Score,Current Value,Program Fair Value,Distance to Fair,Fair Value Method,Confidence Reason,Rich Peers,Cheap Peers,Neutral Peers,Eligible Peers,Forward Robust Z,Regional Residual,Structural Verdict,Distance to 3W Median,Distance to 5W Median,Strongest Confirming Peer,Strongest Contradicting Peer,Quality Flags,Explanation,Forward Daily Settles,FoM Observations,Price Observations,Representative Candidates
Midwest - Chicago,Chicago,neutral,No Edge,low,42.85317301322363,-0.2698,-0.2661,-0.003699999999999981,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,1,2,3,-0.6620001898566458,0.07080000000000003,near_fair_value,0.010877570093457967,0.010877570093457967,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current -0.270 is close to estimated fair value -0.266; no qualified regional dislocation.,99,140,9726,APC-ACE|APC-NGPL|Chicago|NGPL-MidAm|NGPL-Nicor|NGPL-Nipsco
Midwest - Chicago,NNG-Demarc,neutral,No Edge,low,43.81983042427587,-0.3812,-0.3949,0.01369999999999999,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,0,2,3,0.6774620844082132,-0.04059999999999997,near_fair_value,0.004711214953271092,0.004711214953271092,,,insufficient_backtest_events,Current -0.381 is close to estimated fair value -0.395; no qualified regional dislocation.,99,140,9727,NNG-Demarc
Midwest - Chicago,NNG-Ventura,neutral,No Edge,low,30.980602300249824,-0.3575,-0.3544,-0.0030999999999999917,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,3,3,-0.39451346309008506,-0.01689999999999997,near_fair_value,0.013200934579439216,0.013200934579439216,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current -0.357 is close to estimated fair value -0.354; no qualified regional dislocation.,99,140,9728,NBPL-Ventura|NNG-Ventura
Midwest - Chicago,REX E-MidW,neutral,No Edge,low,31.159263701762423,-0.3237,-0.3268,0.0030999999999999917,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,3,3,0.3945134630900768,0.016900000000000026,near_fair_value,-0.0023537383177569815,-0.0023537383177569815,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current -0.324 is close to estimated fair value -0.327; no qualified regional dislocation.,99,0,4521,REX E-ANR|REX E-MidW|REX E-NGPL
Midwest - Demand,Michcon,neutral,No Edge,low,34.923782544179176,-0.28,-0.2873,0.007299999999999973,Median value implied by 1 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,1,1,0.9847565088358613,-0.005099999999999993,near_fair_value,0.004065420560747657,0.004065420560747657,,,forward_proxy_used|insufficient_backtest_events,Current -0.280 is close to estimated fair value -0.287; no qualified regional dislocation.,99,140,9727,Michcon
Midwest - Demand,PGLC,neutral,No Edge,low,34.923782544179176,-0.2698,-0.2625,-0.007299999999999973,Median value implied by 1 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,1,1,-0.9847565088358095,0.005100000000000049,near_fair_value,0.007629906542056031,0.007629906542056031,,,forward_proxy_used|insufficient_backtest_events,Current -0.270 is close to estimated fair value -0.263; no qualified regional dislocation.,99,125,4604,PGLC
Mountain - Opal,CIG-Mainline South,cheap,Confirmed Anomaly,high,85.61176311884529,-0.6533,-0.6325000000000001,-0.02079999999999993,Median value implied by 1 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,0,1,0,1,-1.1223526237690546,-0.08404999999999996,near_fair_value,-0.015203271028037424,-0.015203271028037424,NWP-Rocky Mtn,,forward_proxy_used|insufficient_backtest_events,Current -0.653 is 0.021 below fair -0.633; 1 of 1 independent forward comparisons agree. Completed-summer history is near fair value.,99,0,4327,CIG-Mainline South
Mountain - Opal,NWP-Rocky Mtn,rich,Confirmed Anomaly,high,85.61176311884529,-0.4852,-0.506,0.020799999999999985,Median value implied by 1 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,1,0,0,1,1.1223526237690604,0.08405000000000001,near_fair_value,0.05213644859813077,0.05213644859813077,CIG-Mainline South,,insufficient_backtest_events|shared_forward_symbol,Current -0.485 is 0.021 above fair -0.506; 1 of 1 independent forward comparisons agree. Completed-summer history is near fair value.,99,140,4559,NWP-Rocky Mtn|Ruby-Rec Pool
Mountain - WesTex,EP-SJ Blanco Pool,neutral,No Edge,low,34.63712397140162,-0.6812,-0.6603000000000001,-0.02089999999999992,Median value implied by 1 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,1,1,-0.927424794280322,-0.09799999999999998,mixed_regime,-0.13930747663551402,-0.13930747663551402,,,insufficient_backtest_events|shared_forward_symbol,Current -0.681 is close to estimated fair value -0.660; no qualified regional dislocation.,99,140,9728,EP-SJ Blanco Pool|EP-SJ Bondad Stn|TW-Blanco
Mountain - WesTex,NWP-Wyoming,neutral,No Edge,low,34.63712397140162,-0.4852,-0.5061,0.020899999999999974,Median value implied by 1 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,0,0,1,1,0.927424794280327,0.09800000000000003,near_fair_value,0.06810981308411207,0.06810981308411207,,,forward_proxy_used|insufficient_backtest_events,Current -0.485 is close to estimated fair value -0.506; no qualified regional dislocation.,99,39,9517,NWP-Wyoming
