Price Region,Market Comp,Live,Change,Regional Signal,11-Aug,4-Aug,28-Jul,21-Jul,14-Jul,7-Jul,30-Jun,23-Jun,16-Jun,9-Jun,2-Jun,26-May,19-May,12-May,5-May,28-Apr,21-Apr,14-Apr,7-Apr,1-Apr,Sum25,Sum24,Sum23,Sum22,Sum21
Northeast - Demand,AGT-CG (non-G),-0.155,0.0018,Mixed,-0.1568,-0.1277,-0.0961,-0.1036,-0.114,-0.1266,-0.1444,-0.1357,-0.15,-0.1522,-0.1526,-0.1404,-0.154,-0.14,-0.1047,-0.0479,-0.035,-0.0212,-0.0092,-0.0052,0.1153738318,0.2049299065,0.3911214953,0.205911215,0.2915186916
SouthCentral - Henry,ANR-SE,-0.0637,0.0,Not screened,-0.0637,-0.063,-0.0627,-0.0627,-0.0627,-0.0609,-0.0605,-0.0602,-0.0602,-0.0598,-0.057,-0.0566,-0.0566,-0.0491,-0.0441,-0.0366,-0.0366,-0.0359,-0.0313,-0.0313,0.0090570093,-0.0109663551,-0.0719009346,-0.0295411215,0.0017009434
SouthCentral - Henry,ANR-SE-T,-0.0637,0.0,Not screened,-0.0637,-0.063,-0.0627,-0.0627,-0.0627,-0.0609,-0.0605,-0.0602,-0.0602,-0.0598,-0.057,-0.0566,-0.0566,-0.0491,-0.0441,-0.0366,-0.0366,-0.0359,-0.0313,-0.0313,0.0090570093,-0.0109663551,-0.0719009346,-0.0295411215,0.0017009434
SouthCentral - Midcon,ANR-SW,-0.4327,0.0089,Not screened,-0.4416,-0.4415,-0.4375,-0.43,-0.4621,-0.4646,-0.5246,-0.4896,-0.4646,-0.4921,-0.5068,-0.5111,-0.539,-0.5435,-0.5545,-0.582,-0.6163,-0.62,-0.6075,-0.605,0.0420663551,0.031435514,-0.0780971963,0.1478607477,-0.1889850467
Midwest - Chicago,APC-ACE,-0.2698,0.0063,Not screened,-0.2761,-0.2796,-0.2775,-0.2782,-0.2799,-0.2892,-0.3131,-0.3167,-0.3034,-0.3134,-0.3234,-0.3227,-0.3416,-0.3341,-0.3091,-0.3041,-0.3177,-0.3284,-0.3259,-0.3259,0.0223728972,0.1230504673,0.0180037383,0.1987046729,-0.0974869159
Midwest - Chicago,APC-NGPL,-0.2698,0.0063,Not screened,-0.2761,-0.2796,-0.2775,-0.2782,-0.2799,-0.2892,-0.3131,-0.3167,-0.3034,-0.3134,-0.3234,-0.3227,-0.3416,-0.3341,-0.3091,-0.3041,-0.3177,-0.3284,-0.3259,-0.3259,0.0108775701,0.0589383178,0.001928972,0.146835514,-0.1292158879
SouthCentral - TexCoast,Atmos Zone 3,-1.4725,-0.0325,Cheap,-1.44,-1.4845,-1.4583,-1.3429,-1.5475,-1.6299,-1.6989,-1.7502,-1.6602,-1.9154,-1.943,-1.8276,-1.9297,-1.8478,-1.6724,-1.4902,-1.4596,-1.4652,-1.3249,-1.3249,-1.1095616822,-1.1435752336,-1.1476317757,-0.8951719626,-1.2525056075
SouthCentral - Perryville,Carthage,-0.3775,0.0033,Cheap,-0.3808,-0.3751,-0.3679,-0.3454,-0.3754,-0.3871,-0.3992,-0.4036,-0.4085,-0.4282,-0.4748,-0.4798,-0.4826,-0.4669,-0.4507,-0.4346,-0.4421,-0.4471,-0.4042,-0.4199,-0.1116121495,-0.1204439252,-0.0486502347,0.2583851675,-0.1982943925
SouthCentral - Perryville,CG-Mainline,-0.2875,-0.0096,Mixed,-0.2779,-0.2854,-0.2854,-0.275,-0.285,-0.3015,-0.3054,-0.2894,-0.2923,-0.3048,-0.3223,-0.3198,-0.3198,-0.313,-0.2929,-0.2879,-0.2879,-0.2879,-0.2804,-0.2801,-0.0191588785,-0.0607476636,0.0394158879,0.3255373832,0.1061448598
SouthCentral - Henry,CG-Onshore,-0.0961,0.0,Not screened,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,-0.0961,0.0158626168,0.0275214953,-0.0183897196,0.0236897196,-0.0325719626
Mountain - Rockies,Cheyenne,-0.6533,0.0637,Not screened,-0.717,-0.7201,-0.7152,-0.6952,-0.773,-0.7873,-0.8552,-0.7902,-0.7052,-0.7324,-0.7502,-0.7823,-0.8444,-0.8695,-0.8648,-0.9123,-0.9727,-0.9806,-0.9056,-0.8931,0.0812093458,-0.0958233645,-0.269164486,-0.0302626168,-0.3924588785
Midwest - Chicago,Chicago,-0.2698,0.0063,Neutral,-0.2761,-0.2796,-0.2775,-0.2782,-0.2799,-0.2892,-0.3131,-0.3167,-0.3034,-0.3134,-0.3234,-0.3227,-0.3416,-0.3341,-0.3091,-0.3041,-0.3177,-0.3284,-0.3259,-0.3259,0.0108775701,0.0589383178,0.001928972,0.146835514,-0.1292158879
Mountain - Rockies,CIG-Mainline,-0.6533,0.0637,Not screened,-0.717,-0.7201,-0.7152,-0.6952,-0.773,-0.7873,-0.8552,-0.7902,-0.7052,-0.7324,-0.7502,-0.7823,-0.8444,-0.8695,-0.8648,-0.9123,-0.9727,-0.9806,-0.9056,-0.8931,0.0899242991,-0.077528972,-0.2615009346,-0.0130897196,-0.3793280374
Mountain - Rockies,CIG-Mainline Pool,-0.6533,0.0637,Not screened,-0.717,-0.7201,-0.7152,-0.6952,-0.773,-0.7873,-0.8552,-0.7902,-0.7052,-0.7324,-0.7502,-0.7823,-0.8444,-0.8695,-0.8648,-0.9123,-0.9727,-0.9806,-0.9056,-0.8931,0.0899242991,-0.077528972,-0.2615009346,-0.0130897196,-0.3793280374
Mountain - Opal,CIG-Mainline South,-0.6533,0.0637,Cheap,-0.717,-0.7201,-0.7152,-0.6952,-0.773,-0.7873,-0.8552,-0.7902,-0.7052,-0.7324,-0.7502,-0.7823,-0.8444,-0.8695,-0.8648,-0.9123,-0.9727,-0.9806,-0.9056,-0.8931,0.1457626168,-0.015203271,-0.2133327103,-0.0127584112,-0.3567802817
Northeast - Appalachia,Eastern Gas-South,-0.7907,0.0023,Neutral,-0.793,-0.797,-0.7952,-0.8095,-0.8195,-0.8503,-0.8799,-0.8831,-0.9167,-0.9196,-0.9067,-0.8704,-0.905,-0.9165,-0.9325,-0.8919,-0.8802,-0.8665,-0.8829,-0.88,0.1177345794,-0.1441813084,0.3314495327,0.1607018692,-0.0271018692
SouthCentral - Midcon,EGT-Flex,-0.3275,0.0024,Neutral,-0.3299,-0.331,-0.3231,-0.3021,-0.3178,-0.3296,-0.3575,-0.3574,-0.3599,-0.3906,-0.4138,-0.4316,-0.4413,-0.4303,-0.4349,-0.4346,-0.4614,-0.4692,-0.4492,-0.4496,5.28037e-05,-0.0070225352,0.0212957346,0.2665060748,-0.0871816038
SouthCentral - Perryville,EGT-Perryville Hub,-0.2875,-0.0096,Not screened,-0.2779,-0.2854,-0.2854,-0.275,-0.285,-0.3015,-0.3054,-0.2894,-0.2923,-0.3048,-0.3223,-0.3198,-0.3198,-0.313,-0.2929,-0.2879,-0.2879,-0.2879,-0.2804,-0.2801,-0.0191588785,-0.0607476636,0.0394158879,0.3255373832,0.1061448598
SouthCentral - WesTex,EP-Keystone,-1.3776,-0.0272,Not screened,-1.3504,-1.3949,-1.3687,-1.2565,-1.4644,-1.5668,-1.6344,-1.6857,-1.6007,-1.8559,-1.8834,-1.7681,-1.873,-1.7908,-1.6161,-1.4325,-1.3986,-1.4072,-1.2619,-1.2633,1.2597593458,1.4817149533,-0.6321285047,-0.1906672897,-1.089228972
SouthCentral - WesTex,EP-Plains Pool,-1.3776,-0.0272,Not screened,-1.3504,-1.3949,-1.3687,-1.2565,-1.4644,-1.5668,-1.6344,-1.6857,-1.6007,-1.8559,-1.8834,-1.7681,-1.873,-1.7908,-1.6161,-1.4325,-1.3986,-1.4072,-1.2619,-1.2633,0.7984122066,0.8516528037,-0.8469369159,-0.548292381,-1.1039560748
Mountain - WesTex,EP-SJ Blanco Pool,-0.6812,0.0597,Neutral,-0.7409,-0.7657,-0.7496,-0.7032,-0.7971,-0.811,-0.8471,-0.7973,-0.6659,-0.7569,-0.8019,-0.8228,-0.8673,-0.9123,-0.9197,-0.9772,-0.9965,-1.0126,-0.9372,-0.9121,0.1015803738,-0.1393074766,-0.5949383178,-0.1043308411,-0.462928972
Mountain - WesTex,EP-SJ Bondad Stn,-0.6812,0.0597,Not screened,-0.7409,-0.7657,-0.7496,-0.7032,-0.7971,-0.811,-0.8471,-0.7973,-0.6659,-0.7569,-0.8019,-0.8228,-0.8673,-0.9123,-0.9197,-0.9772,-0.9965,-1.0126,-0.9372,-0.9121,0.1086598131,-0.1197747664,-0.5538401869,-0.0864102804,-0.4442140187
SouthCentral - WesTex,EP-Waha Pool,-1.3776,-0.0272,Not screened,-1.3504,-1.3949,-1.3687,-1.2565,-1.4644,-1.5668,-1.6344,-1.6857,-1.6007,-1.8559,-1.8834,-1.7681,-1.873,-1.7908,-1.6161,-1.4325,-1.3986,-1.4072,-1.2619,-1.2633,1.291535514,1.4960214953,-0.6312214953,-0.1561514019,-1.0838383178
Southeast,FGT-Z3,0.4738,-0.0175,Neutral,0.4913,0.4916,0.497,0.5209,0.5209,0.5209,0.5549,0.5863,0.5403,0.5178,0.5178,0.5178,0.5178,0.5171,0.5067,0.4859,0.4859,0.4859,0.4759,0.4759,0.0916037383,-0.0016439252,0.1392439252,-0.3559663551,0.4015570093
West - California,GTN-Malin,-0.5849,0.0382,Not screened,-0.6231,-0.6327,-0.6079,-0.6065,-0.6851,-0.6778,-0.805,-0.6901,-0.5547,-0.5257,-0.5468,-0.5829,-0.6504,-0.6978,-0.6899,-0.7253,-0.7853,-0.8123,-0.7778,-0.7578,0.0523327103,-0.1796747664,-1.0816682243,-0.2630074766,-0.631685514
SouthCentral - TexCoast,Gulf S. Pool 16,-0.3775,0.0033,Not screened,-0.3808,-0.3751,-0.3679,-0.3454,-0.3754,-0.3871,-0.3992,-0.4036,-0.4085,-0.4282,-0.4748,-0.4798,-0.4826,-0.4669,-0.4507,-0.4346,-0.4421,-0.4471,-0.4042,-0.4199,-0.1017619718,-0.0880783019,0.0620325359,0.2945556604,-0.1248090909
SouthCentral - Perryville,Gulf South - Perryville,-0.2875,-0.0096,Not screened,-0.2779,-0.2854,-0.2854,-0.275,-0.285,-0.3015,-0.3054,-0.2894,-0.2923,-0.3048,-0.3223,-0.3198,-0.3198,-0.313,-0.2929,-0.2879,-0.2879,-0.2879,-0.2804,-0.2801,-0.0670665072,-0.15546,-0.0498509804,0.1637192661,-0.10196
SouthCentral - TexCoast,HSC-HPL Pool,-0.3775,0.0033,Neutral,-0.3808,-0.3751,-0.3679,-0.3454,-0.3754,-0.3871,-0.3992,-0.4036,-0.4085,-0.4282,-0.4748,-0.4798,-0.4826,-0.4669,-0.4507,-0.4346,-0.4421,-0.4471,-0.4042,-0.4199,-0.0027102804,-0.0637383178,-0.1361682243,0.1064719626,-0.3240654206
Northeast - Demand,Iroquois (into),-0.1912,0.0,Not screened,-0.1912,-0.1912,-0.1912,-0.1912,-0.1912,-0.1912,-0.1912,-0.1912,-0.1912,-0.1912,-0.1855,-0.1855,-0.1855,-0.1855,-0.1855,-0.1855,-0.1855,-0.1855,-0.1855,-0.1855,-0.0206158879,0.1560897196,0.159664486,0.1441301887,-0.0129757009
Northeast - Demand Rest,Iroquois-Z2,0.0813,0.015,Not screened,0.0663,0.0498,0.0588,0.0827,0.0652,0.0352,0.0427,0.0991,0.1116,0.1216,0.1391,0.1566,0.1566,0.1566,0.1566,0.1591,0.1591,0.1591,0.1591,0.1591,0.0802018692,0.2617439252,0.2318373832,0.2551785047,0.243028972
West - California,KRGT-Del Pool,0.1367,0.0947,Not screened,0.042,0.0149,0.0754,0.0681,-0.0617,-0.0351,-0.1999,-0.0598,0.1949,-0.0795,-0.1428,-0.1445,-0.2034,-0.3101,-0.3093,-0.443,-0.4981,-0.4945,-0.4073,-0.3884,0.6769803738,0.4047841121,-0.6276224299,-0.1743747664,-0.6932299065
