Price Region,Pair Key,Rich Leg,Cheap Leg,Trade Direction,Current Spread,Fair Spread Full,Fair Spread 40D,Fair Spread 20D,Dislocation,Robust Z Full,Robust Z 40D,Robust Z 20D,Percentile,Window Agreement,Paired Dates,Overlap,Qualified,Confidence Score,Quality Flags,5d Event Count,5d Hit Rate,5d Mean Favorable Move,5d Median Favorable Move,10d Event Count,10d Hit Rate,10d Mean Favorable Move,10d Median Favorable Move,20d Event Count,20d Hit Rate,20d Mean Favorable Move,20d Median Favorable Move
Midwest - Chicago,Chicago :: NNG-Demarc,NNG-Demarc,Chicago,Short NNG-Demarc / Long Chicago,0.1114,0.12870000000000004,0.11569999999999997,0.11169999999999997,-0.017300000000000038,-0.8707977715630674,-0.5800620531498706,-0.19271164556471604,9.090909090909092,1.0,99,1.0,True,78.70797771563068,insufficient_backtest_events,2,,,,2,,,,2,,,
Mountain - Opal,CIG-Mainline South :: NWP-Rocky Mtn,NWP-Rocky Mtn,CIG-Mainline South,Short NWP-Rocky Mtn / Long CIG-Mainline South,-0.16809999999999997,-0.1473,-0.15004999999999996,-0.15300000000000002,-0.020799999999999985,-1.1223526237690575,-1.288313037942067,-1.5668939181687123,6.0606060606060606,1.0,99,1.0,True,81.22352623769058,insufficient_backtest_events,0,,,,0,,,,0,,,
Northeast - Appalachia,Leidy-Transco :: TETCO-M2 (receipt),Leidy-Transco,TETCO-M2 (receipt),Short Leidy-Transco / Long TETCO-M2 (receipt),0.06730000000000003,0.054200000000000026,0.06180000000000002,0.06359999999999999,0.0131,1.5501454296743,1.9024098344211604,1.9197044692795247,100.0,1.0,99,1.0,True,85.50145429674299,insufficient_backtest_events,4,,,,3,,,,2,,,
Northeast - Appalachia,Eastern Gas-South :: Leidy-Transco,Leidy-Transco,Eastern Gas-South,Short Leidy-Transco / Long Eastern Gas-South,-0.07069999999999999,-0.05910000000000004,-0.06655,-0.06714999999999999,-0.011599999999999944,-1.3971594303443844,-1.9993833227342483,-1.4511770885708688,0.0,1.0,99,1.0,True,83.97159430344385,insufficient_backtest_events,4,,,,2,,,,2,,,
Northeast - Appalachia,Rover-PEPL :: TGP-Z4 Sta-219,TGP-Z4 Sta-219,Rover-PEPL,Short TGP-Z4 Sta-219 / Long Rover-PEPL,0.2673,0.3055,0.27845,0.27449999999999997,-0.03820000000000001,-1.026515817211394,-1.2534286613606709,-1.3489815189532113,6.0606060606060606,1.0,99,1.0,True,80.26515817211394,insufficient_backtest_events,2,,,,2,,,,1,,,
Northeast - Appalachia,TETCO-M2 (receipt) :: TGP-Z4 Marcellus,TGP-Z4 Marcellus,TETCO-M2 (receipt),Short TGP-Z4 Marcellus / Long TETCO-M2 (receipt),0.0027000000000000357,0.027899999999999925,-0.006349999999999967,-0.006650000000000045,-0.02519999999999989,-1.7891754882957904,3.488080784721763,4.34930248352151,36.36363636363637,0.3333333333333333,99,1.0,True,74.55842154962457,insufficient_backtest_events,6,,,,4,,,,2,,,
Northeast - Appalachia,Eastern Gas-South :: TGP-Z4 Marcellus,TGP-Z4 Marcellus,Eastern Gas-South,Short TGP-Z4 Marcellus / Long Eastern Gas-South,-0.0006999999999999229,0.022600000000000064,-0.010599999999999943,-0.010500000000000065,-0.023299999999999987,-1.6370452808129954,26.709834075282096,66.10009442871456,37.37373737373738,0.3333333333333333,99,1.0,True,73.03711947479661,insufficient_backtest_events,7,,,,4,,,,2,,,
Northeast - Demand,AGT-CG (non-G) :: TETCO-M3,TETCO-M3,AGT-CG (non-G),Short TETCO-M3 / Long AGT-CG (non-G),0.4738,0.5628,0.54165,0.5145,-0.08899999999999997,-2.8450084167496175,-5.290658731848209,-0.991038769339256,0.0,1.0,99,1.0,True,98.45008416749617,insufficient_backtest_events,5,,,,4,,,,2,,,
Northeast - Demand,AGT-CG (non-G) :: Transco-Z6 (non-NY north),Transco-Z6 (non-NY north),AGT-CG (non-G),Short Transco-Z6 (non-NY north) / Long AGT-CG (non-G),0.4848,0.5819000000000001,0.54695,0.51775,-0.09710000000000008,-1.9094184473812605,-2.1776415948815813,-0.7909064243684666,2.0202020202020203,1.0,99,1.0,True,89.0941844738126,insufficient_backtest_events,4,,,,3,,,,2,,,
SouthCentral - Midcon,OGT :: Panhandle,Panhandle,OGT,Short Panhandle / Long OGT,-0.01749999999999996,-0.0035999999999999366,-0.010300000000000004,-0.01040000000000002,-0.013900000000000023,-2.604283765756904,-1.38752384806614,-2.0378231456526823,4.040404040404041,1.0,99,1.0,True,96.04283765756904,insufficient_backtest_events,3,,,,1,,,,1,,,
SouthCentral - Midcon,OGT :: Southern Star,Southern Star,OGT,Short Southern Star / Long OGT,-0.022499999999999964,-0.007400000000000073,-0.0121,-0.012850000000000028,-0.015099999999999891,-1.357974729079524,-3.188501772071156,-5.659857242564375,1.0101010101010102,1.0,99,1.0,True,83.57974729079524,insufficient_backtest_events,5,,,,2,,,,1,,,
SouthCentral - Midcon,EGT-Flex :: Southern Star,Southern Star,EGT-Flex,Short Southern Star / Long EGT-Flex,0.13,0.15050000000000002,0.1465,0.13805,-0.020500000000000018,-0.973736659807766,-1.025723274780075,-1.3745950920978682,6.0606060606060606,1.0,99,1.0,True,79.73736659807766,insufficient_backtest_events,1,,,,1,,,,1,,,
SouthCentral - Perryville,CG-Mainline :: TGT-Mainline,TGT-Mainline,CG-Mainline,Short TGT-Mainline / Long CG-Mainline,-0.02749999999999997,-0.012399999999999967,-0.018899999999999972,-0.018049999999999983,-0.015100000000000002,-1.9970216604110984,-2.900310265749315,-2.2364693603697665,2.0202020202020203,1.0,99,1.0,True,89.97021660411099,insufficient_backtest_events,3,,,,2,,,,1,,,
SouthCentral - Perryville,TETCO-ELA :: TGT-Mainline,TGT-Mainline,TETCO-ELA,Short TGT-Mainline / Long TETCO-ELA,0.03370000000000001,0.07770000000000002,0.05225000000000002,0.04940000000000003,-0.04400000000000001,-1.8902925743293095,-1.5938603297185803,-2.4626755636703472,0.0,1.0,99,1.0,True,88.9029257432931,insufficient_backtest_events,4,,,,3,,,,2,,,
SouthCentral - Perryville,CG-Mainline :: TETCO-ELA,CG-Mainline,TETCO-ELA,Short CG-Mainline / Long TETCO-ELA,-0.06119999999999998,-0.09009999999999999,-0.0701,-0.06914999999999999,0.02890000000000001,1.5594226359098873,1.0174521626002895,1.554261315315631,96.96969696969697,1.0,99,1.0,True,85.59422635909887,insufficient_backtest_events,3,,,,2,,,,1,,,
SouthCentral - Perryville,Carthage :: TETCO-ELA,Carthage,TETCO-ELA,Short Carthage / Long TETCO-ELA,-0.1512,-0.2189,-0.16010000000000002,-0.15995,0.06770000000000001,1.0238346281741144,0.8003957012455606,1.844310670443812,95.95959595959596,1.0,99,1.0,True,80.23834628174114,insufficient_backtest_events,4,,,,2,,,,1,,,
