Price Region,Component,Verdict,Signal Status,Confidence,Confidence Score,Current Value,Program Fair Value,Distance to Fair,Fair Value Method,Confidence Reason,Rich Peers,Cheap Peers,Neutral Peers,Eligible Peers,Forward Robust Z,Regional Residual,Structural Verdict,Distance to 3W Median,Distance to 5W Median,Strongest Confirming Peer,Strongest Contradicting Peer,Quality Flags,Explanation,Forward Daily Settles,FoM Observations,Price Observations,Representative Candidates
Midwest - Chicago,Chicago,mixed,Mixed Evidence,low,40.609857746550844,0.1913,0.2269,-0.03559999999999999,Median value implied by 3 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,1,1,1,3,-1.2345434980651295,-0.02309999999999998,rich,0.08880000000000006,0.19192913907284773,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,"Forward comparisons and completed-winter history disagree, so no single directional conclusion is reliable.",108,140,9740,APC-ACE|APC-NGPL|Chicago|NGPL-Nicor|NGPL-Nipsco
Midwest - Chicago,NNG-Demarc,rich,Structural Divergence,medium,60.0,0.2375,0.2019,0.03559999999999999,Median value implied by 3 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",1,0,2,3,1.2345434980651298,0.02310000000000001,rich,0.45706953642384107,0.3916059602649007,NNG-Ventura,,insufficient_backtest_events,Current 0.237 is 0.036 above fair 0.202; 1 of 3 independent forward comparisons agree. Completed-winter history also looks rich.,108,140,9741,NNG-Demarc
Midwest - Chicago,NNG-Ventura,cheap,Confirmed Anomaly,high,95.0,0.5112,0.62975,-0.11855000000000004,Median value implied by 3 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,0,3,0,3,-6.0430108902090245,0.2968,mixed_regime,0.09537763157894735,0.2736172185430463,Chicago,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current 0.511 is 0.119 below fair 0.630; 3 of 3 independent forward comparisons agree. Completed winters span different regimes.,108,140,9742,NBPL-Ventura|NNG-Ventura
Midwest - Chicago,REX E-MidW,rich,Emerging Anomaly,medium,72.80596487243758,0.025,-0.02099999999999999,0.04599999999999999,Median value implied by 3 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",2,0,1,3,0.8360284623764532,-0.18939999999999999,near_fair_value,0.5588427631578948,0.32786887417218546,NNG-Ventura,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current 0.025 is 0.046 above fair -0.021; 2 of 3 independent forward comparisons agree. Completed-winter history is near fair value.,108,0,4535,REX E-MidW|REX E-NGPL
Midwest - Demand,Michcon,rich,Confirmed Anomaly,high,91.53372323162068,-0.28,-0.44775,0.16774999999999995,Median value implied by 1 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,1,0,0,1,2.3067446463241357,-0.23565000000000003,near_fair_value,0.1804934210526316,0.09609271523178797,PGLC,,forward_proxy_used,Current -0.280 is 0.168 above fair -0.448; 1 of 1 independent forward comparisons agree. Completed-winter history is near fair value.,108,140,9740,Michcon
Midwest - Demand,PGLC,cheap,Confirmed Anomaly,high,91.53372323162068,0.1913,0.35905,-0.16774999999999998,Median value implied by 1 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,0,1,0,1,-2.3067446463241357,0.23565000000000003,near_fair_value,0.059457894736842126,0.24126688741721858,Michcon,,forward_proxy_used,Current 0.191 is 0.168 below fair 0.359; 1 of 1 independent forward comparisons agree. Completed-winter history is near fair value.,108,125,4619,PGLC
Mountain - Opal,CIG-Mainline South,cheap,Confirmed Anomaly,high,89.30309973384543,-0.1325,-0.05995000000000003,-0.07254999999999998,Median value implied by 1 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,0,1,0,1,-1.8606199467690858,-0.18125000000000002,near_fair_value,0.5694251655629139,0.5276848684210524,NWP-Rocky Mtn,,forward_proxy_used|insufficient_backtest_events,Current -0.133 is 0.073 below fair -0.060; 1 of 1 independent forward comparisons agree. Completed-winter history is near fair value.,108,0,4341,CIG-Mainline South
Mountain - Opal,NWP-Rocky Mtn,rich,Confirmed Anomaly,high,89.30309973384543,0.23,0.15745000000000003,0.07254999999999998,Median value implied by 1 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,1,0,0,1,1.8606199467690858,0.18125000000000002,near_fair_value,0.892682119205298,0.12980132450331122,CIG-Mainline South,,insufficient_backtest_events|shared_forward_symbol,Current 0.230 is 0.073 above fair 0.157; 1 of 1 independent forward comparisons agree. Completed-winter history is near fair value.,108,140,4572,NWP-Rocky Mtn|Opal
Mountain - WesTex,EP-SJ Blanco Pool,cheap,Confirmed Anomaly,high,88.50817024009817,-0.09,-0.015449999999999992,-0.07455,Median value implied by 1 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,0,1,0,1,-1.7016340480196341,-0.16,mixed_regime,0.6116556291390729,-0.19417218543046355,NWP-Wyoming,,insufficient_backtest_events|shared_forward_symbol,Current -0.090 is 0.075 below fair -0.015; 1 of 1 independent forward comparisons agree. Completed winters span different regimes.,108,140,9742,EP-SJ Blanco Pool|EP-SJ Bondad Stn|TW-Blanco
Mountain - WesTex,NWP-Wyoming,rich,Confirmed Anomaly,high,88.50817024009817,0.23,0.15545,0.07455,Median value implied by 1 independent ICE forward comparisons,Broad agreement across independent forward comparisons and multiple lookback windows.,1,0,0,1,1.7016340480196324,0.16,near_fair_value,0.8922516556291391,0.12798013245033116,EP-SJ Blanco Pool,,forward_proxy_used|insufficient_backtest_events,Current 0.230 is 0.075 above fair 0.155; 1 of 1 independent forward comparisons agree. Completed-winter history is near fair value.,108,39,9531,NWP-Wyoming
Northeast - Appalachia,Eastern Gas-South,neutral,No Edge,low,53.75559127480861,-0.6093,-0.635575,0.02627500000000005,Median value implied by 4 independent ICE forward comparisons,The conclusion relies mainly on structural history or contains conflicting evidence.,2,0,2,4,1.2637826861772001,-0.15179999999999993,near_fair_value,-0.16337284768211918,-0.02377019867549668,,,insufficient_backtest_events,Current -0.609 is close to estimated fair value -0.636; no qualified regional dislocation.,108,140,9741,Eastern Gas-South
Northeast - Appalachia,Leidy-Transco,neutral,No Edge,medium,55.72772216441908,-0.3438,-0.309975,-0.033824999999999994,Median value implied by 4 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",0,2,2,4,0.06332555165391644,0.11370000000000002,mixed_regime,0.007259602649006658,0.1870609271523178,,,insufficient_backtest_events,Current -0.344 is close to estimated fair value -0.310; no qualified regional dislocation.,108,140,4903,Leidy-Transco
Northeast - Appalachia,Rover-PEPL,rich,Structural Divergence,medium,60.0,0.025,0.015999999999999986,0.009000000000000015,Median value implied by 4 independent ICE forward comparisons,"Directional evidence is useful, but history, proxy quality, or confirmation is limited.",0,0,4,4,0.6682742547809599,0.48250000000000004,rich,0.23013421052631577,0.2667549668874173,,,forward_proxy_used|insufficient_backtest_events|shared_forward_symbol,Current 0.025 is 0.009 above fair 0.016; 0 of 4 independent forward comparisons agree. Completed-winter history also looks rich.,108,74,2973,Rover-ANR|Rover-PEPL
