Price Region,Market Comp,Live,Change,Regional Signal,14-Aug,7-Aug,31-Jul,24-Jul,17-Jul,10-Jul,3-Jul,26-Jun,19-Jun,12-Jun,5-Jun,29-May,22-May,15-May,8-May,1-May,24-Apr,17-Apr,10-Apr,2-Apr,1-Apr,Win25-26,vs25-26,Win24-25,vs24-25,Win23-24,vs23-24,Win22-23,vs22-23,Win21-22,vs21-22
Northeast - Demand,AGT-CG (non-G),9.2535,0.1796,Not screened,9.0739,8.9501,9.4572,9.7403,9.0913,8.1627,7.457,7.4206,7.487,8.1325,8.4841,7.9172,8.2381,8.3117,8.0452,8.4203,7.931,7.4449,8.5354,8.9949,9.0772,7.8711258278,1.3823741722,5.8038410596,3.4496589404,1.3828947368,7.8706052632,3.2481788079,6.0053211921,6.4630794702,2.7904205298
SouthCentral - Henry,ANR-SE,-0.1187,-0.005,Not screened,-0.1137,-0.1237,-0.1352,-0.1307,-0.1307,-0.1049,-0.0904,-0.0904,-0.0854,-0.0779,-0.0754,-0.0704,-0.0654,-0.0363,-0.0363,-0.0348,-0.0348,-0.0298,-0.0298,-0.0248,-0.0248,-0.0506291391,-0.0680708609,-0.0435099338,-0.0751900662,0.0167763158,-0.1354763158,-0.0233774834,-0.0953225166,-0.081192053,-0.037507947
SouthCentral - Henry,ANR-SE-T,-0.1187,-0.005,Not screened,-0.1137,-0.1237,-0.1352,-0.1307,-0.1307,-0.1049,-0.0904,-0.0904,-0.0854,-0.0779,-0.0754,-0.0704,-0.0654,-0.0363,-0.0363,-0.0348,-0.0348,-0.0298,-0.0298,-0.0248,-0.0248,-0.0506291391,-0.0680708609,-0.0435099338,-0.0751900662,0.0167763158,-0.1354763158,-0.0233774834,-0.0953225166,-0.081192053,-0.037507947
SouthCentral - Midcon,ANR-SW,0.0068,0.0024,Not screened,0.0044,0.004,-0.0291,0.0002,0.0154,-0.023,-0.1044,-0.1441,-0.1095,-0.1428,-0.1912,-0.2193,-0.2503,-0.2622,-0.2796,-0.3162,-0.3431,-0.3875,-0.4075,-0.4033,-0.4128,-0.5891390728,0.5959390728,-0.410794702,0.417594702,0.0402631579,-0.0334631579,-0.082218543,0.089018543,-0.2504966887,0.2572966887
Midwest - Chicago,APC-ACE,0.2049,-0.0113,Not screened,0.2162,0.2259,0.218,0.2286,0.2428,0.2391,0.2171,0.1976,0.2107,0.2232,0.2195,0.1965,0.2148,0.1998,0.1973,0.2074,0.1824,0.1686,0.1802,0.1732,0.1556,0.1820529801,0.0228470199,-0.2409271523,0.4458271523,0.0335197368,0.1713802632,-0.0294370861,0.2343370861,-0.1804304636,0.3853304636
Midwest - Chicago,APC-NGPL,0.2049,-0.0113,Not screened,0.2162,0.2259,0.218,0.2286,0.2428,0.2391,0.2171,0.1976,0.2107,0.2232,0.2195,0.1965,0.2148,0.1998,0.1973,0.2074,0.1824,0.1686,0.1802,0.1732,0.1556,0.1206953642,0.0842046358,-0.2467218543,0.4516218543,0.1025,0.1024,-0.0006291391,0.2055291391,-0.1614900662,0.3663900662
SouthCentral - TexCoast,Atmos Zone 3,-1.0697,-0.0716,Not screened,-0.9981,-1.0061,-1.0848,-1.0389,-1.0545,-1.1799,-1.2898,-1.1906,-1.1815,-1.1173,-1.3048,-1.3275,-1.2651,-1.4503,-1.27,-1.3428,-1.2477,-1.225,-1.32,-1.2673,-1.2586,-1.3919794521,0.3222794521,-0.5701847682,-0.4995152318,-0.7150723684,-0.3546276316,-0.818481457,-0.251218543,-0.2819364238,-0.7877635762
SouthCentral - Perryville,Carthage,-0.4656,-0.0081,Not screened,-0.4575,-0.4426,-0.463,-0.4643,-0.4385,-0.4791,-0.5154,-0.5028,-0.5033,-0.5648,-0.5995,-0.639,-0.6181,-0.6297,-0.5826,-0.5521,-0.54,-0.54,-0.5399,-0.4826,-0.4987,-0.5604304636,0.0948304636,-0.4128476821,-0.0527523179,-0.3526315789,-0.1129684211,-0.7137086093,0.2481086093,-0.2649668874,-0.2006331126
SouthCentral - Perryville,CG-Mainline,-0.2267,-0.0164,Not screened,-0.2103,-0.2143,-0.23,-0.2275,-0.2149,-0.2276,-0.2655,-0.2657,-0.2692,-0.2732,-0.2746,-0.2771,-0.26,-0.2548,-0.2469,-0.2348,-0.2463,-0.2412,-0.2307,-0.2392,-0.2326,-0.2096688742,-0.0170311258,-0.2284437086,0.0017437086,-0.2298355263,0.0031355263,-0.3584437086,0.1317437086,-0.284205298,0.057505298
SouthCentral - Henry,CG-Onshore,-0.0556,-0.01,Not screened,-0.0456,-0.0456,-0.0456,-0.0456,-0.0456,-0.0108,-0.0108,-0.0108,-0.0108,-0.0108,-0.0108,-0.0108,-0.0108,-0.0108,-0.0108,-0.0108,-0.0108,-0.0108,-0.0108,-0.0108,-0.0108,-0.0189403974,-0.0366596026,-0.0722516556,0.0166516556,-0.0997039474,0.0441039474,-0.096986755,0.041386755,-0.1025496689,0.0469496689
