Price Region,Pair Key,Rich Leg,Cheap Leg,Trade Direction,Current Spread,Fair Spread Full,Fair Spread 40D,Fair Spread 20D,Dislocation,Robust Z Full,Robust Z 40D,Robust Z 20D,Percentile,Window Agreement,Paired Dates,Overlap,Qualified,Confidence Score,Quality Flags,5d Event Count,5d Hit Rate,5d Mean Favorable Move,5d Median Favorable Move,10d Event Count,10d Hit Rate,10d Mean Favorable Move,10d Median Favorable Move,20d Event Count,20d Hit Rate,20d Mean Favorable Move,20d Median Favorable Move
Midwest - Chicago,Chicago :: NNG-Ventura,Chicago,NNG-Ventura,Short Chicago / Long NNG-Ventura,-0.32230000000000003,-0.39790000000000003,-0.38895,-0.38029999999999997,0.0756,10.406428860496009,7.886808617388632,3.044394089466341,100.0,1.0,107,1.0,True,100.0,insufficient_backtest_events,6,,,,3,,,,1,,,
Midwest - Chicago,NNG-Demarc :: NNG-Ventura,NNG-Demarc,NNG-Ventura,Short NNG-Demarc / Long NNG-Ventura,-0.25980000000000003,-0.39239999999999997,-0.3507,-0.32535000000000003,0.13259999999999994,4.405786931359412,9.731938101019443,2.422622974448802,100.0,1.0,107,1.0,True,100.0,insufficient_backtest_events,5,,,,3,,,,1,,,
Midwest - Chicago,NNG-Ventura :: REX E-MidW,REX E-MidW,NNG-Ventura,Short REX E-MidW / Long NNG-Ventura,0.4848,0.6107,0.5707,0.5448999999999999,-0.1259,-2.086446845653647,-5.243326356474162,-2.156217800241662,0.0,1.0,107,1.0,True,90.86446845653647,,8,25.0,-0.010349999999999998,-0.012249999999999928,5,,,,2,,,
Midwest - Chicago,Chicago :: NNG-Demarc,NNG-Demarc,Chicago,Short NNG-Demarc / Long Chicago,-0.0625,-0.010399999999999993,-0.04135000000000001,-0.05499999999999999,-0.05210000000000001,-1.8207755735093571,-1.8770367845960476,-0.7904188587616388,2.803738317757009,1.0,107,1.0,True,88.20775573509357,insufficient_backtest_events,5,,,,3,,,,1,,,
Midwest - Chicago,Chicago :: REX E-MidW,REX E-MidW,Chicago,Short REX E-MidW / Long Chicago,0.1625,0.2123,0.17959999999999998,0.16705,-0.04979999999999998,-0.927890602815868,-1.130763920298996,-0.4384189936597872,5.607476635514018,1.0,107,1.0,True,79.27890602815867,,10,40.0,-0.004600000000000007,-0.002149999999999999,5,,,,3,,,
Midwest - Demand,Michcon :: PGLC,Michcon,PGLC,Short Michcon / Long PGLC,-0.4562,-0.6392,-0.58405,-0.5324,0.183,2.5293403480372345,4.344264161162847,1.4316489100868126,100.0,1.0,107,1.0,True,95.29340348037235,,8,0.0,-0.02164999999999999,-0.019399999999999973,4,,,,2,,,
Mountain - Opal,CIG-Mainline South :: NWP-Rocky Mtn,NWP-Rocky Mtn,CIG-Mainline South,Short NWP-Rocky Mtn / Long CIG-Mainline South,-0.3661,-0.2896,-0.3003,-0.32645,-0.07649999999999996,-2.007725412449786,-2.5145321231478723,-0.5636155661379764,5.607476635514018,1.0,107,1.0,True,90.07725412449787,insufficient_backtest_events,2,,,,1,,,,1,,,
Mountain - WesTex,EP-SJ Blanco Pool :: NWP-Wyoming,NWP-Wyoming,EP-SJ Blanco Pool,Short NWP-Wyoming / Long EP-SJ Blanco Pool,-0.3403,-0.2454,-0.26975,-0.2827,-0.09489999999999998,-2.192094968298934,-1.73037538476632,-0.9640364204926023,4.672897196261682,1.0,107,1.0,True,91.92094968298935,insufficient_backtest_events,2,,,,1,,,,1,,,
Northeast - Appalachia,Eastern Gas-South :: Leidy-Transco,Eastern Gas-South,Leidy-Transco,Short Eastern Gas-South / Long Leidy-Transco,-0.26680000000000004,-0.31139999999999995,-0.30345,-0.27765000000000006,0.04459999999999992,3.6243720328500943,1.502740810627183,2.3232459493082267,100.0,1.0,107,1.0,True,100.0,insufficient_backtest_events,5,,,,2,,,,1,,,
Northeast - Appalachia,Leidy-Transco :: TETCO-M2 (receipt),TETCO-M2 (receipt),Leidy-Transco,Short TETCO-M2 (receipt) / Long Leidy-Transco,0.1285,0.16110000000000002,0.15289999999999998,0.14165000000000003,-0.03260000000000002,-2.5868704422278985,-1.46289551388702,-1.7391281347288639,0.0,1.0,107,1.0,True,95.868704422279,insufficient_backtest_events,4,,,,3,,,,1,,,
