Price Region,Pair Key,Rich Leg,Cheap Leg,Trade Direction,Current Spread,Fair Spread Full,Fair Spread 40D,Fair Spread 20D,Dislocation,Robust Z Full,Robust Z 40D,Robust Z 20D,Percentile,Window Agreement,Paired Dates,Overlap,Qualified,Confidence Score,Quality Flags,5d Event Count,5d Hit Rate,5d Mean Favorable Move,5d Median Favorable Move,10d Event Count,10d Hit Rate,10d Mean Favorable Move,10d Median Favorable Move,20d Event Count,20d Hit Rate,20d Mean Favorable Move,20d Median Favorable Move
Midwest - Chicago,Chicago :: NNG-Demarc,NNG-Demarc,Chicago,Short NNG-Demarc / Long Chicago,-0.05789999999999998,-0.010800000000000004,-0.04175000000000002,-0.0562,-0.047099999999999975,-1.6126149630125675,-1.328417776286213,-0.2364194414660205,8.256880733944955,1.0,109,1.0,True,86.12614963012567,insufficient_backtest_events,6,,,,3,,,,1,,,
Midwest - Chicago,Chicago :: NNG-Ventura,Chicago,NNG-Ventura,Short Chicago / Long NNG-Ventura,-0.3067,-0.3971,-0.38895,-0.37595,0.09040000000000004,11.725762433977776,9.564976718439699,3.1035538268275227,100.0,1.0,109,1.0,True,100.0,insufficient_backtest_events,6,,,,3,,,,1,,,
Midwest - Chicago,Chicago :: REX E-MidW,REX E-MidW,Chicago,Short REX E-MidW / Long Chicago,0.1633,0.2123,0.17795,0.1644,-0.04899999999999999,-0.8743398733955862,-0.9881289626332123,-0.10675393315456785,8.256880733944955,1.0,109,1.0,True,78.74339873395586,,10,40.0,-0.004600000000000007,-0.002149999999999999,5,,,,3,,,
Midwest - Chicago,NNG-Demarc :: NNG-Ventura,NNG-Demarc,NNG-Ventura,Short NNG-Demarc / Long NNG-Ventura,-0.24880000000000002,-0.3921,-0.35005,-0.32204999999999995,0.14329999999999998,4.580783214833948,9.551355160420252,3.0879030082287926,100.0,1.0,109,1.0,True,100.0,insufficient_backtest_events,6,,,,3,,,,1,,,
Midwest - Chicago,NNG-Demarc :: REX E-MidW,REX E-MidW,NNG-Demarc,Short REX E-MidW / Long NNG-Demarc,0.22119999999999998,0.2273,0.22160000000000002,0.22014999999999998,-0.006100000000000022,-0.27799956978427376,-0.06830286171915566,0.22845654756465078,33.02752293577982,0.6666666666666666,109,1.0,False,66.11332903117606,insufficient_backtest_events,5,,,,2,,,,1,,,
Midwest - Chicago,NNG-Ventura :: REX E-MidW,REX E-MidW,NNG-Ventura,Short REX E-MidW / Long NNG-Ventura,0.47,0.6103000000000001,0.56955,0.54085,-0.1403000000000001,-2.2968702319069436,-5.618874904258995,-2.3482884672686426,0.0,1.0,109,1.0,True,92.96870231906944,,8,25.0,-0.010349999999999998,-0.012249999999999928,5,,,,2,,,
Midwest - Demand,Michcon :: PGLC,Michcon,PGLC,Short Michcon / Long PGLC,-0.47729999999999995,-0.6389,-0.58075,-0.51085,0.16160000000000008,2.210906830251883,3.1430661742276413,0.6107736836825859,96.3302752293578,1.0,109,1.0,True,92.10906830251884,,8,0.0,-0.02164999999999999,-0.019399999999999973,4,,,,2,,,
Mountain - Opal,CIG-Mainline South :: NWP-Rocky Mtn,NWP-Rocky Mtn,CIG-Mainline South,Short NWP-Rocky Mtn / Long CIG-Mainline South,-0.3751,-0.2903,-0.3035,-0.34325,-0.08479999999999999,-2.102824132485855,-2.3218047297367397,-0.53639277626291,7.339449541284404,1.0,109,1.0,True,91.02824132485856,insufficient_backtest_events,3,,,,2,,,,1,,,
Mountain - WesTex,EP-SJ Blanco Pool :: NWP-Wyoming,NWP-Wyoming,EP-SJ Blanco Pool,Short NWP-Wyoming / Long EP-SJ Blanco Pool,-0.3263,-0.2455,-0.27249999999999996,-0.30269999999999997,-0.08079999999999998,-1.822704125943442,-1.3195491949033031,-0.2894178531572302,6.422018348623854,1.0,109,1.0,True,88.22704125943442,insufficient_backtest_events,2,,,,1,,,,1,,,
Northeast - Appalachia,Eastern Gas-South :: Leidy-Transco,Eastern Gas-South,Leidy-Transco,Short Eastern Gas-South / Long Leidy-Transco,-0.2675,-0.31139999999999995,-0.2944,-0.27665,0.04389999999999994,3.567487270002673,1.1063293554829532,1.7384761828763213,100.0,1.0,109,1.0,True,100.0,insufficient_backtest_events,5,,,,2,,,,1,,,
